,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,2.3,3.86,4.03,4.13,3.05,1.74,1.79,2.29,1.75,1.63,2.05,1.19,1.14,,1.37
f_1,4.49,0.42,4.05,3.65,3.19,3.53,1.31,1.6,2.5,1.51,1.39,,1.74,0.95,1.61,1.75
d_1,3.86,3.36,0.4,4.08,2.91,3.82,1.89,,1.27,1.87,1.64,1.42,1.95,1.49,1.35,0.99
c_1,3.28,3.75,3.81,0.39,3.91,3.68,1.67,1.03,2.06,,1.74,1.53,1.49,1.56,1.71,1.36
b_1,3.1,3.78,3.87,2.42,0.37,4.19,1.82,1.8,2.14,1.76,,1.92,1.89,1.49,1.34,
a_1,4.33,4.12,3.82,2.86,2.22,0.3,1.77,1.54,,1.71,,1.91,,1.16,1.25,1.6
h_1,1.87,2.05,1.59,2.13,1.76,1.86,0.27,0.83,0.87,0.75,0.64,0.79,0.68,,1.01,0.77
d_0,1.01,1.74,,1.75,1.46,1.95,1.0,0.28,0.98,0.73,0.63,0.6,0.83,0.51,0.75,0.74
g_1,1.7,1.7,2.19,1.97,2.02,,1.06,0.63,0.23,0.8,0.79,0.96,0.76,0.65,0.93,
c_0,1.75,1.44,0.98,,1.76,1.61,0.87,0.81,0.75,0.28,0.87,0.66,0.75,0.65,0.74,0.66
b_0,1.58,1.71,1.64,1.74,,,0.85,0.63,0.82,0.47,0.26,0.84,,0.66,0.64,0.5
f_0,1.59,,1.69,1.91,1.38,1.43,0.93,0.9,0.61,0.66,0.63,0.25,0.63,0.68,0.88,0.36
a_0,2.25,1.43,1.58,1.63,1.76,,0.86,0.68,0.91,0.84,,0.66,0.22,0.65,0.68,
h_0,1.39,1.41,1.19,1.1,1.22,1.54,,0.61,0.57,0.56,0.63,0.47,0.59,,0.47,0.54
e_0,,2.23,1.35,1.46,1.66,1.42,0.75,0.8,0.71,0.74,0.9,0.4,0.74,0.77,0.22,0.63
g_0,1.12,1.43,1.37,1.0,,1.35,0.65,0.61,,0.52,0.79,0.6,,0.34,0.52,
