,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.03,1.15,1.08,0.92,1.16,1.13,1.18,1.36,1.07,1.08,1.05,1.11,1.01,1.06
f_1,1.3,1.0,0.91,1.09,0.87,0.96,0.79,0.96,0.85,0.89,0.89,0.92,0.9,0.78,0.79,1.04
d_1,0.97,1.09,1.0,0.88,1.03,1.0,1.07,0.86,1.23,1.06,0.94,1.05,0.95,0.88,1.15,0.8
c_1,0.89,0.91,1.14,1.0,1.33,1.02,1.02,0.91,0.68,0.73,0.96,0.79,0.99,1.02,0.97,0.96
b_1,0.93,1.17,0.98,0.75,1.0,1.49,1.09,1.03,1.06,0.98,1.09,1.13,0.89,1.14,0.86,1.09
a_1,1.09,1.04,1.0,0.98,0.66,1.0,1.09,1.15,1.03,1.27,1.09,1.14,1.24,1.16,1.2,1.2
h_1,0.87,1.28,0.91,0.97,0.96,0.9,1.0,1.31,0.93,0.95,0.87,1.03,0.99,1.1,0.99,1.18
g_1,0.91,1.0,1.22,1.03,0.98,0.82,0.78,1.0,0.98,0.85,1.27,0.95,0.9,0.91,0.97,1.12
c_0,0.88,1.16,0.83,1.41,0.91,0.94,1.08,0.97,1.0,1.08,1.0,1.54,1.2,1.18,1.17,1.1
d_0,0.73,1.05,0.96,1.37,1.06,0.76,1.05,1.15,0.93,1.0,0.95,1.0,1.12,1.2,1.12,1.01
f_0,0.89,1.14,1.04,1.05,0.94,0.89,1.12,0.79,1.01,1.04,1.0,0.94,0.99,1.05,1.47,0.83
b_0,0.94,1.11,0.9,1.34,0.98,0.84,0.92,1.06,0.67,1.0,1.11,1.0,1.39,1.08,0.95,1.06
a_0,0.96,1.12,1.05,1.05,1.1,0.87,1.05,1.13,0.87,0.93,1.01,0.7,1.0,1.13,0.82,1.04
h_0,0.93,1.29,1.1,0.96,0.89,0.83,0.91,1.08,0.84,0.87,0.95,0.9,0.91,1.0,0.85,1.13
e_0,1.04,1.26,0.9,1.04,1.15,0.78,0.96,1.05,0.96,0.92,0.69,1.02,1.11,1.09,1.0,0.92
g_0,0.92,0.96,1.21,1.04,0.93,0.88,0.83,0.89,0.89,0.95,1.22,0.98,1.0,0.88,1.0,1.0
