,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.45,1.03,1.38,1.7,2.84,17.32,28.41,27.33,36.71,37.18,48.39,71.35,101.29,106.78,88.66
e_1,0.7,1.0,0.98,1.59,1.41,3.13,21.07,25.07,25.91,42.86,39.64,50.25,74.17,89.15,110.89,119.19
d_1,0.96,1.01,1.0,1.1,1.39,3.12,17.33,21.87,35.71,32.58,39.97,43.52,70.55,78.22,82.86,96.04
c_1,0.71,0.63,0.88,1.0,1.55,2.19,13.98,18.19,18.58,17.01,23.79,32.92,55.49,58.09,79.67,73.77
b_1,0.61,0.7,0.71,0.66,1.0,2.96,14.32,17.15,20.54,20.95,24.56,28.56,53.0,50.2,67.26,68.07
a_1,0.35,0.32,0.32,0.45,0.34,1.0,6.18,8.72,7.68,11.14,14.26,12.91,24.85,29.66,30.95,37.14
h_1,0.06,0.05,0.06,0.07,0.07,0.15,1.0,1.6,1.41,1.66,2.19,2.13,3.86,4.52,6.01,5.64
g_1,0.04,0.04,0.05,0.05,0.06,0.11,0.61,1.0,1.06,1.02,1.48,2.14,2.34,3.29,3.73,3.82
c_0,0.04,0.04,0.03,0.06,0.05,0.13,0.71,0.93,1.0,1.37,1.92,1.76,2.84,3.75,3.99,3.83
d_0,0.03,0.02,0.03,0.06,0.05,0.09,0.56,0.93,0.67,1.0,1.18,1.31,2.14,2.7,3.28,3.58
b_0,0.03,0.02,0.02,0.04,0.04,0.07,0.49,0.66,0.54,0.86,1.0,1.14,2.04,3.2,2.83,2.88
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.48,0.49,0.58,0.76,0.88,1.0,1.64,1.92,1.97,3.32
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.42,0.34,0.47,0.48,0.62,1.0,1.21,1.58,1.2
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.31,0.29,0.37,0.33,0.51,0.81,1.0,1.24,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.27,0.25,0.3,0.36,0.51,0.63,0.83,1.0,1.16
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.25,0.27,0.26,0.35,0.3,0.82,0.89,0.87,1.0
