,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10203.8,2832.21,3219.85,7414.91,8974.21,25225.52,4508230.48,5580899.01,19645664.9,11490172.57,29889316.32,23277320.08,120786194.74,71122199.23,186072986.96,361783994.7
d_1,2628.25,12774.14,4077.42,4090.93,8719.18,31374.93,4740740.86,5935243.89,5047576.59,25412345.22,26881116.81,31691421.92,126445758.25,123743455.15,202421021.83,340728028.03
f_1,4785.05,3053.57,14777.02,5534.2,6979.35,25001.41,4389340.35,4034829.24,10350551.0,12765195.83,7285663.1,24604725.1,89208157.69,69739989.15,156251749.84,317141650.93
c_1,2404.54,3099.47,3420.53,25615.75,18101.07,29739.57,4059717.14,5149345.73,10492049.08,4447840.19,23177231.37,17778518.84,120351325.24,88356949.77,134474371.19,279000639.41
b_1,2159.98,3157.06,3943.25,5001.96,47027.62,64573.81,4765668.45,5399685.75,10592693.94,13159300.69,23435454.01,11480739.27,126895312.31,116588018.2,87184689.55,334895259.1
a_1,2419.35,3507.97,4155.19,6397.51,7868.55,209609.91,4908996.86,5354064.87,9332215.44,14230122.48,21903704.32,26810703.02,119337146.82,127538163.08,73856583.59,349774154.78
h_1,3011.68,4188.32,5741.74,6598.66,11907.77,34844.65,14091429.77,8589641.79,11144430.67,16267699.15,26217535.62,26576679.94,90400131.9,158071825.22,203110644.84,618538533.83
g_1,2803.04,6111.22,3648.29,6631.62,11677.81,35893.65,4934023.94,16647391.02,12137820.72,16253034.75,46833261.54,30040458.59,131664508.34,161795065.51,180347250.13,284271240.23
d_0,3235.27,2415.53,3861.01,13523.59,12349.51,41062.57,5656147.16,6239724.89,24002330.58,11696473.85,30422100.79,20141528.8,143536553.61,161256681.82,163959195.91,510743617.31
c_0,3372.89,4873.13,5085.05,4505.77,8442.17,36420.62,5722335.23,7023182.95,11130066.88,32180360.85,30881400.51,57985939.09,167287860.85,167838151.11,292410623.07,397347383.72
f_0,2761.25,5070.4,2732.26,7898.88,11704.58,37601.12,5614212.67,6959187.58,15184026.51,15511528.85,65391154.7,27076024.99,169255953.33,310428386.91,194362174.67,566824030.75
b_0,3065.8,4309.84,5229.49,6924.34,5138.6,33755.55,6052823.04,5896716.19,13656074.15,18435833.46,30396669.57,65135720.5,175850341.13,147663232.69,475399373.19,452613218.58
h_0,2555.31,4310.87,6647.75,6730.07,10702.34,38902.35,3229909.98,9459925.72,13297561.47,16512595.66,30096122.88,33174135.45,77991619.82,159513295.22,179349035.01,560696039.68
e_0,1656.75,4728.51,4495.01,7249.68,12479.45,42337.88,5688149.85,8127906.11,16141725.21,16303452.33,30520737.61,32753962.31,182570336.3,381431389.38,229632530.7,548574472.4
a_0,2944.61,4242.5,5056.88,8256.32,10616.19,12257.75,6291317.42,6180595.27,15372036.27,14792372.41,33789155.01,37045941.03,180418328.5,155109319.0,594413373.73,492137562.14
g_0,2598.38,6444.56,3811.39,7193.62,10510.03,33708.82,6228404.25,4842877.39,12723784.48,14711318.32,46572040.16,27764100.86,165704600.74,176503707.83,197998257.59,266967773.44
