,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.95,1.1,0.9,0.96,1.16,1.22,0.93,1.37,1.08,0.95,1.08,1.12,1.17,1.11
f_1,1.28,1.0,0.97,1.0,0.93,1.08,0.89,1.02,0.96,0.87,0.87,0.99,1.1,0.82,0.98,0.94
d_1,1.05,1.03,1.0,0.87,1.0,0.96,1.07,0.81,1.36,1.16,1.1,1.02,0.91,1.0,0.85,0.88
c_1,0.91,1.0,1.15,1.0,1.45,0.95,0.93,0.8,0.67,0.73,0.87,1.02,0.77,0.92,1.32,0.91
b_1,1.11,1.08,1.0,0.69,1.0,1.33,0.96,1.05,1.06,1.0,1.46,0.98,1.04,1.21,1.02,1.03
a_1,1.04,0.92,1.04,1.05,0.75,1.0,1.13,1.34,0.99,1.0,1.06,1.04,0.79,1.05,0.85,1.06
h_1,0.83,1.16,0.97,1.1,0.99,0.86,1.0,1.02,0.99,1.0,1.11,0.94,0.9,1.03,0.99,1.3
g_1,0.8,1.01,1.19,1.23,1.0,0.71,0.98,1.0,0.88,1.02,0.98,1.22,1.01,0.86,0.93,0.82
c_0,1.04,1.09,0.75,1.5,0.96,0.96,0.98,1.17,1.0,1.12,1.25,1.09,1.22,1.03,0.91,1.16
d_0,0.72,1.12,0.83,1.41,0.99,0.97,1.02,1.0,0.92,1.0,0.99,1.0,0.79,0.86,0.83,0.95
b_0,0.86,1.26,0.91,1.3,0.67,0.85,0.88,1.05,0.76,1.0,1.0,0.96,1.5,1.15,0.89,1.08
f_0,1.03,1.02,0.99,0.99,1.05,0.94,1.05,0.81,0.92,0.93,1.01,1.0,0.98,1.03,1.58,0.76
a_0,0.94,0.93,1.08,1.28,0.96,1.17,1.1,1.0,0.8,1.27,0.66,1.0,1.0,0.96,0.89,1.46
h_0,0.89,1.27,0.98,1.05,0.83,0.85,0.98,1.17,0.94,1.14,0.86,0.94,1.02,1.0,0.79,1.11
e_0,0.87,1.12,1.11,0.83,0.96,1.03,0.99,1.07,1.13,1.13,1.14,0.65,1.14,1.31,1.0,0.91
g_0,0.85,1.04,1.13,1.15,0.98,0.95,0.8,1.22,0.89,0.96,0.87,1.22,0.76,0.89,1.06,1.0
