,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.27,1.09,0.47,0.5,0.39,0.46,0.93,1.04,0.85,1.09,1.13,0.45,1.42,0.85,1.34,0.62
e_1,0.71,2.33,0.44,0.7,0.46,0.34,1.1,1.21,0.94,2.21,1.08,1.22,1.51,1.12,1.34,0.55
d_1,0.61,0.52,2.37,0.49,0.57,0.34,1.16,2.25,0.85,0.47,1.21,1.18,1.41,0.96,1.31,1.16
c_1,0.55,0.48,0.61,2.41,1.03,0.41,1.04,0.49,0.78,1.08,0.76,1.0,1.47,0.8,1.39,0.88
b_1,0.56,0.51,0.64,0.63,2.62,0.84,1.09,1.01,0.73,1.07,0.54,1.11,1.32,0.91,1.13,0.88
a_1,0.54,0.58,0.65,0.6,0.5,3.19,1.08,1.24,1.11,1.11,1.19,1.19,1.64,0.53,1.32,0.89
h_1,1.01,0.61,0.83,0.62,0.56,0.48,3.07,1.34,1.51,1.53,1.49,1.25,1.06,0.95,2.31,1.0
c_0,0.9,0.62,0.71,0.51,0.43,0.54,1.42,2.76,1.54,1.62,2.81,1.65,1.93,1.46,1.62,1.36
g_1,0.67,0.62,1.03,0.69,0.62,0.43,1.29,1.44,3.43,1.2,1.19,1.98,1.42,1.26,0.89,1.13
d_0,0.74,0.58,0.45,1.37,0.59,0.43,1.24,1.0,1.19,2.69,1.49,1.29,1.64,1.37,1.98,1.26
b_0,0.91,0.69,0.79,0.75,0.3,0.42,1.17,1.41,1.19,1.6,3.06,1.43,2.01,2.73,1.86,1.05
f_0,0.5,0.46,0.85,0.79,0.68,0.53,1.49,1.58,1.25,1.45,1.27,2.99,1.63,1.32,1.58,2.91
h_0,1.12,0.67,0.69,0.7,0.54,0.44,0.84,1.41,1.73,1.28,1.33,1.24,1.18,1.15,1.87,0.89
a_0,0.76,0.67,0.92,0.73,0.69,0.25,1.42,1.44,1.04,1.63,1.32,1.44,1.9,3.03,1.53,1.4
g_0,0.68,0.62,1.06,0.76,0.6,0.38,1.27,1.5,0.95,1.35,1.41,2.15,1.69,1.04,1.14,1.47
e_0,0.85,0.49,0.83,0.85,0.69,0.49,1.22,1.68,0.91,1.43,1.19,1.41,1.92,1.08,1.8,3.23
