,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.93,1.01,0.96,0.93,0.72,0.95,0.87,0.96,0.91,0.9,0.9,0.98,0.74,1.02
e_1,0.79,1.0,1.03,1.11,1.07,1.02,1.11,1.32,0.88,1.07,0.92,1.09,0.96,1.2,1.14,1.02
d_1,1.08,0.96,1.0,1.04,0.97,0.93,0.9,0.92,1.37,0.81,1.12,0.97,0.98,0.92,1.0,0.78
c_1,0.99,0.91,0.95,1.0,1.39,0.96,1.05,0.68,0.97,0.92,0.81,0.93,1.01,0.86,1.0,1.01
b_1,1.04,0.93,1.03,0.72,1.0,1.42,1.16,1.06,1.08,1.22,1.19,0.96,1.12,0.95,0.92,1.01
a_1,1.09,0.97,1.09,1.04,0.7,1.0,1.46,1.23,1.0,1.2,1.23,1.21,1.12,1.12,1.22,1.27
h_1,1.34,0.91,1.09,0.95,0.86,0.71,1.0,0.88,0.97,1.2,1.08,0.9,0.97,0.99,0.96,1.11
d_0,0.99,0.77,1.22,1.53,1.0,0.81,1.09,1.0,0.73,0.94,0.97,1.08,1.06,0.98,1.06,1.1
c_0,1.12,1.15,0.71,0.99,0.95,0.99,1.04,1.44,1.0,1.11,1.46,0.92,1.0,1.09,1.0,1.11
g_1,0.98,0.93,1.29,1.02,0.89,0.82,0.83,0.99,0.9,1.0,0.99,1.29,0.94,0.96,1.07,1.06
b_0,1.19,1.08,0.91,1.27,0.83,0.8,0.9,1.01,0.71,1.13,1.0,0.98,1.0,1.32,1.09,1.11
f_0,1.2,0.84,1.02,1.09,1.01,0.85,1.03,0.97,1.05,0.8,0.99,1.0,1.08,0.9,1.52,0.76
h_0,1.12,1.0,0.98,0.99,0.94,0.93,1.03,1.0,1.0,1.06,1.02,0.94,1.0,0.9,0.86,1.23
a_0,0.99,0.89,1.05,1.1,1.07,0.85,0.97,0.99,1.01,0.99,0.79,1.04,1.16,1.0,0.91,1.08
e_0,1.37,0.95,1.03,1.03,1.16,0.85,1.05,0.91,0.99,0.9,0.98,0.65,1.25,1.08,1.0,0.97
g_0,1.0,0.97,1.22,1.01,1.03,0.77,0.87,0.93,0.89,0.97,0.9,1.26,0.81,0.98,1.11,1.0
