,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.67,2.61,2.25,1.8,1.86,1.78,0.99,0.63,0.86,1.65,0.74,0.67,0.55,0.75,0.63,0.4
e_1,2.04,0.66,1.37,2.03,2.19,1.91,1.12,0.99,0.74,1.0,0.69,0.92,0.63,0.82,1.67,0.71
f_1,1.85,2.41,0.66,2.22,1.97,1.74,0.73,1.4,0.72,0.68,0.72,1.51,0.47,0.64,0.66,0.56
c_1,2.73,2.06,2.0,0.64,2.81,2.1,1.07,0.81,1.26,0.5,0.86,0.84,0.63,0.62,0.58,0.74
b_1,2.62,2.31,2.36,1.41,0.62,3.43,0.99,0.99,0.95,0.76,2.58,0.8,0.52,0.78,0.96,0.75
a_1,3.56,2.38,3.08,2.7,1.37,0.57,1.1,1.26,0.97,1.07,1.23,0.88,1.3,1.93,0.99,0.71
h_1,2.32,2.61,3.41,2.36,2.41,2.57,0.6,1.53,1.04,0.98,0.92,0.8,1.41,0.76,0.81,0.82
g_1,3.04,2.87,2.8,3.39,2.89,2.27,1.02,0.57,1.01,0.93,1.14,0.95,0.75,1.12,1.15,1.36
c_0,1.76,3.08,2.97,7.68,2.93,2.81,1.3,1.35,0.68,1.27,1.07,1.02,0.89,0.82,1.06,0.87
d_0,5.2,1.67,3.49,3.49,3.12,2.57,1.29,1.83,1.01,0.66,1.1,1.15,0.95,1.1,0.99,0.98
b_0,2.52,2.9,3.0,3.77,4.12,2.55,1.34,1.32,0.65,1.27,0.63,1.05,1.15,1.28,1.06,1.09
f_0,2.76,2.59,5.03,2.97,3.32,2.59,1.37,1.13,1.17,1.07,1.26,0.65,1.21,1.09,1.38,0.65
h_0,3.5,3.0,3.66,3.52,4.46,2.15,2.68,1.53,1.06,1.18,1.12,1.03,1.78,1.03,1.09,1.12
a_0,2.99,2.71,4.61,5.26,4.49,3.87,1.98,1.27,1.16,1.43,0.68,1.25,0.98,0.61,1.15,0.98
e_0,3.33,5.44,4.32,5.02,2.71,2.8,1.35,1.35,1.19,1.14,1.37,0.68,1.27,1.13,0.58,1.12
g_0,3.76,3.26,4.8,3.24,3.4,2.88,1.35,2.11,1.24,1.33,1.04,1.57,0.89,1.18,1.16,1.62
