,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,93.0,55.59,62.87,116.88,157.58,301.64,8196.04,27089.61,17984.87,19404.74,27496.23,36245.01,127714.32,141026.13,110688.67,168257.43
f_1,66.68,108.1,67.14,93.45,112.95,261.67,8088.89,15194.77,17008.76,15553.45,24217.18,19790.13,83189.57,101095.2,107151.9,184559.29
d_1,43.98,52.13,138.27,62.71,125.63,266.36,7216.39,8024.5,24460.56,13516.64,21761.76,26919.38,94933.03,110568.4,108676.25,136056.8
c_1,33.81,41.64,63.81,165.78,193.99,237.73,6062.74,11375.44,7084.72,12430.68,17415.09,22400.89,81426.11,76916.76,113841.35,132477.4
b_1,27.94,43.63,52.64,60.63,232.22,386.83,5742.82,11970.4,13375.57,15018.46,14546.51,22463.26,74378.04,75907.83,95622.79,106596.74
a_1,26.12,37.77,43.7,54.3,58.19,449.06,5220.83,9926.87,8351.27,7124.67,13219.89,15267.22,57683.79,43354.66,81007.77,106038.3
h_1,10.58,18.27,20.34,21.98,32.24,65.31,3255.69,3707.74,4564.84,5349.0,6493.81,7801.13,20635.8,30150.15,26542.29,51075.49
d_0,8.33,12.1,13.01,31.03,31.1,59.84,1641.8,4473.74,2915.38,3538.07,4821.47,6325.24,23610.74,23912.29,26500.41,37296.89
c_0,9.76,13.57,14.88,15.52,24.33,74.34,1912.19,3098.48,4982.73,3527.32,7331.09,6136.93,20836.7,27106.12,28513.09,35337.82
g_1,7.16,9.42,23.25,18.1,22.17,68.39,1569.36,2812.06,3263.06,5996.24,4577.71,8404.05,17631.42,18160.89,31039.23,26090.69
b_0,8.37,10.87,14.4,18.14,18.39,53.43,1633.9,3048.19,3089.8,3374.16,6317.15,5951.48,20970.04,38867.11,25177.59,32951.75
f_0,6.5,8.23,14.49,18.76,21.94,56.5,1506.71,2754.18,3501.39,2982.91,4287.69,7753.08,21079.43,20464.99,40942.06,27694.78
h_0,5.25,8.73,9.23,12.1,16.8,34.0,915.44,1988.55,2208.89,2804.98,2759.79,3557.31,9919.39,13668.15,16769.4,23346.85
a_0,5.09,7.22,9.14,10.83,14.21,18.81,1008.06,1609.83,1887.89,2307.14,2248.51,4077.15,12631.95,21459.79,13115.28,20111.46
e_0,3.07,6.37,9.06,8.97,16.25,33.19,1127.51,1737.23,2061.74,1935.58,3161.06,3091.28,11596.82,14026.49,23767.7,18592.03
g_0,4.39,4.94,10.54,9.23,15.34,29.28,785.99,1330.28,1976.29,1642.16,2526.0,4336.98,10035.92,15135.84,15383.57,14166.61
