,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,6.48,5.75,5.15,5.49,5.34,2.05,2.38,1.8,1.78,2.38,,1.35,1.83,1.62,2.09
e_1,3.78,0.67,6.37,6.31,5.98,6.65,2.7,2.66,2.12,2.39,1.92,2.07,1.42,,2.25,1.44
d_1,5.52,6.23,0.67,6.49,5.64,5.07,2.43,1.64,2.94,,2.13,1.88,1.45,2.66,1.48,1.19
c_1,6.25,5.78,6.02,0.64,7.34,6.22,2.73,3.04,,1.31,2.72,1.97,1.75,2.65,2.01,1.62
b_1,6.42,7.45,5.02,3.58,0.63,6.92,2.75,3.06,2.01,2.55,,2.47,2.11,2.68,2.07,1.72
a_1,7.37,8.24,7.47,6.4,4.54,0.56,3.45,2.82,3.72,3.26,,3.17,2.19,,,1.87
h_1,5.08,4.81,5.53,4.92,5.06,4.08,0.61,2.0,1.75,1.84,1.35,2.54,,1.24,2.08,1.49
g_1,5.64,5.07,7.32,5.02,4.81,6.51,2.2,0.59,1.77,1.76,1.93,3.1,1.12,1.84,1.53,
c_0,5.29,5.05,2.49,,6.02,3.77,2.51,2.79,0.72,2.06,2.45,1.57,1.26,1.32,1.54,1.36
d_0,6.03,3.24,,5.6,3.92,3.5,2.06,2.92,1.7,0.7,1.33,1.64,1.37,2.67,2.38,2.03
b_0,4.39,4.75,5.41,4.76,,,2.92,1.92,1.12,2.1,0.72,1.62,1.59,1.88,2.23,1.27
f_0,,5.28,5.52,5.73,4.07,5.54,1.7,1.33,2.01,2.17,1.79,0.68,1.56,,1.74,0.98
h_0,4.24,4.91,5.86,4.89,5.35,4.09,,2.67,1.69,1.57,1.39,1.37,,,1.61,1.42
e_0,9.07,,4.87,5.33,5.87,,3.52,2.61,2.25,1.46,1.79,,,0.6,2.0,1.98
a_0,8.45,6.53,8.41,6.74,6.05,,1.97,2.99,2.24,2.21,1.23,2.3,2.03,1.51,0.62,1.56
g_0,5.54,5.49,7.08,5.33,5.14,4.68,1.83,,1.69,1.62,2.16,1.96,1.18,1.55,1.69,
