,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,106.67,82.98,73.47,112.65,168.19,480.13,12558.17,17684.73,20398.48,37671.2,37506.87,58227.38,123337.93,133246.15,215073.56,220877.4
f_1,64.15,112.45,106.22,131.27,156.52,422.68,10649.79,18093.05,24196.97,23498.33,29685.32,42264.28,113409.6,103255.75,224545.54,141960.62
e_1,64.99,70.6,113.31,153.72,171.92,479.41,11996.67,18697.55,33790.85,24921.28,33915.08,53749.53,110270.25,114362.03,212690.77,171098.28
c_1,60.71,56.97,56.47,177.8,214.59,374.03,9614.06,15431.98,15732.17,14772.9,19307.3,48924.67,100666.78,91265.07,181047.4,158129.66
b_1,53.33,59.58,57.58,92.02,213.38,596.62,8643.86,12759.96,16762.07,19484.34,21758.3,41091.01,86374.17,85347.83,178212.74,154704.17
a_1,40.84,40.28,39.63,78.43,77.62,508.02,7417.6,10455.13,13018.43,13872.73,19434.34,28466.58,73074.48,61906.88,127105.36,122273.5
h_1,17.4,22.02,18.04,32.04,37.47,94.67,3652.87,5412.75,4761.29,5662.39,6682.72,10946.71,25042.01,26982.05,56904.79,45978.0
g_1,18.22,14.91,14.13,26.67,33.87,86.15,2106.96,5188.4,4201.91,5556.9,6519.19,14137.97,23219.14,23449.47,37274.67,48465.95
d_0,12.24,15.26,13.18,41.52,34.76,80.41,2380.88,3612.37,5374.05,4189.59,6427.5,9546.31,24491.9,20009.17,41882.43,42371.2
c_0,13.21,16.96,14.23,25.44,27.63,88.58,2592.15,3516.96,4699.39,5849.53,9599.38,10380.61,25226.28,27295.83,44467.87,47672.71
b_0,13.61,14.91,12.88,26.66,23.85,72.35,2232.52,3327.07,3747.78,3818.33,7120.3,9557.85,20838.31,31327.88,42668.09,33737.15
f_0,10.81,11.51,10.26,19.43,25.29,80.35,1879.33,2459.19,3412.78,3971.47,5106.19,10488.38,17529.61,18828.54,30550.59,55355.3
h_0,9.26,11.47,9.85,15.64,19.61,51.24,1164.53,2539.68,2556.39,2911.5,4281.78,6529.03,13705.06,13812.03,32269.35,22089.7
a_0,8.35,10.73,8.67,17.46,20.27,37.74,1481.74,2303.99,2909.13,2865.89,3658.52,6081.6,15075.43,18809.47,26405.16,22424.94
g_0,8.87,7.3,7.09,13.3,16.61,47.48,1109.74,1606.69,2020.33,2555.92,3482.0,7209.48,10962.67,12454.91,21304.46,24012.55
e_0,7.2,8.91,7.65,13.04,17.42,50.27,1212.36,1794.76,1878.75,2048.2,3318.62,4287.58,12751.57,12180.3,19357.27,27138.18
