,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.43,0.84,2.0,2.29,1.91,1.84,0.62,0.4,0.57,0.33,0.47,0.39,0.28,0.63,0.29,0.33
f_1,1.69,0.42,1.5,1.94,1.99,1.29,0.35,0.43,0.55,0.35,0.66,0.28,0.19,0.31,0.37,0.29
d_1,2.11,2.04,0.41,1.95,1.69,1.57,0.46,0.7,0.33,0.33,0.35,0.42,0.26,0.4,0.34,0.15
c_1,1.31,2.5,2.35,0.41,1.73,1.68,0.47,0.2,0.49,0.7,0.32,0.35,0.26,0.32,0.32,0.28
b_1,1.97,2.56,1.85,0.93,0.39,2.31,0.6,0.42,0.58,0.64,0.37,0.99,0.33,0.42,0.44,0.29
a_1,2.56,2.8,2.45,2.44,1.08,0.33,0.81,0.57,0.71,0.55,0.41,0.82,0.32,0.54,1.02,0.39
h_1,2.71,2.79,2.72,2.54,2.82,3.33,0.33,0.57,0.88,0.61,0.61,0.54,0.52,0.51,0.44,0.41
d_0,1.73,3.02,5.27,3.18,3.17,2.89,1.0,0.39,1.2,0.62,0.7,0.63,0.43,0.68,0.63,0.54
g_1,3.58,3.16,2.98,3.56,3.26,3.09,0.58,0.63,0.3,0.69,0.67,0.55,0.34,0.48,0.48,0.67
c_0,3.53,2.77,1.6,7.38,3.32,4.94,0.98,1.03,0.99,0.36,0.67,0.64,0.47,0.61,0.52,0.43
f_0,3.13,5.43,3.69,3.03,3.4,3.04,0.98,0.64,0.57,0.67,0.34,0.75,0.46,0.7,0.72,0.29
b_0,2.9,3.23,2.84,5.33,5.76,3.68,0.96,0.62,1.2,0.39,0.71,0.33,0.51,0.71,0.58,0.55
h_0,3.78,3.55,3.95,3.99,3.63,3.03,1.74,0.84,1.26,0.78,0.92,0.91,0.77,0.58,0.79,0.59
e_0,5.74,6.29,3.94,4.26,3.74,3.75,1.15,0.98,1.2,0.94,0.44,0.71,0.62,0.3,0.93,0.53
a_0,4.46,3.77,4.29,5.66,5.62,5.69,1.08,0.77,1.23,0.74,0.76,0.38,0.72,0.56,0.33,0.5
g_0,4.44,5.25,3.9,4.32,4.02,4.26,0.86,0.91,1.79,0.8,0.89,0.83,0.49,0.69,0.85,0.81
