,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.38,0.13,0.07,0.09,0.08,0.05,0.27,0.45,0.31,0.35,0.42,,0.63,0.48,0.27,0.48
e_1,0.08,5.74,0.07,0.06,0.09,0.08,0.27,0.67,0.33,0.2,0.5,0.31,0.72,0.27,,0.57
d_1,0.08,0.09,6.64,0.06,0.09,0.05,0.23,,0.66,0.25,0.37,0.41,0.62,0.49,0.32,0.7
c_1,0.07,0.08,0.09,6.66,0.13,0.07,0.21,0.38,,0.35,0.38,0.42,0.53,0.49,0.45,0.59
b_1,0.07,0.09,0.06,0.1,7.04,0.12,0.37,0.48,0.35,0.22,,0.38,0.64,0.23,0.26,0.67
a_1,0.07,0.08,0.1,0.08,0.07,10.65,0.28,0.39,0.38,0.31,,0.48,0.62,,0.58,0.47
h_1,0.43,0.23,0.2,0.36,0.3,0.28,14.56,1.18,1.52,1.46,1.27,1.31,,1.56,1.37,3.53
d_0,0.42,0.33,,0.76,0.34,0.35,1.62,12.14,2.04,1.18,1.57,1.83,3.9,1.75,2.22,2.02
c_0,0.41,0.47,0.32,,0.32,0.43,1.3,1.43,12.76,1.38,3.6,2.62,2.8,2.07,1.3,2.61
g_1,0.2,0.31,0.58,0.32,0.28,0.21,1.05,1.12,1.32,18.75,1.51,2.21,1.73,1.15,1.21,
b_0,0.37,0.35,0.48,0.39,,,1.78,2.32,2.25,1.11,13.74,1.62,2.61,3.32,2.22,2.48
f_0,,0.28,0.42,0.33,0.41,0.33,1.72,1.76,2.47,1.68,1.54,16.03,3.15,,4.31,3.33
h_0,0.96,0.53,0.55,0.41,0.64,0.68,,3.07,2.46,2.76,2.51,3.04,,1.7,3.58,5.56
a_0,0.33,0.37,0.45,0.35,0.35,,2.16,1.93,2.26,1.63,1.71,,3.39,20.72,,
e_0,0.31,,0.34,0.32,0.43,0.43,2.31,2.33,1.84,1.88,2.46,1.58,2.6,,22.84,2.92
g_0,0.66,0.33,0.79,0.57,0.41,0.69,2.5,2.13,2.72,,3.47,4.92,4.42,,3.55,
