,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,15.17,0.7,0.5,0.74,0.51,0.51,0.8,2.12,0.83,0.93,0.9,0.9,1.06,0.8,0.97,0.38
f_1,1.23,15.66,0.53,0.5,0.5,0.45,0.81,0.84,0.91,0.96,0.97,0.43,0.89,0.91,0.9,0.8
d_1,0.54,0.71,17.85,0.5,0.42,0.57,1.0,0.37,2.0,0.7,1.24,1.04,0.87,1.01,0.99,0.96
c_1,0.5,0.56,0.45,17.7,1.34,0.59,0.7,0.94,0.31,0.76,0.54,0.87,0.99,0.67,0.86,1.08
b_1,0.5,0.44,0.62,0.56,19.15,1.39,0.83,0.78,0.8,0.75,0.42,0.89,0.87,0.84,0.91,0.96
a_1,0.46,0.49,0.67,0.68,0.53,28.59,1.08,0.8,0.93,0.79,1.02,1.12,1.1,0.67,0.87,1.11
h_1,0.51,1.15,1.01,0.64,0.65,0.6,4.95,1.1,1.21,1.81,1.11,1.0,0.55,1.21,1.65,1.27
d_0,0.62,0.8,0.38,1.91,0.89,0.64,1.13,2.77,0.71,1.34,1.06,1.13,1.35,0.88,1.2,1.23
c_0,0.63,0.79,0.92,0.45,0.62,0.75,1.36,1.11,3.0,1.28,3.63,1.29,1.16,1.79,1.32,1.32
g_1,0.75,0.69,1.19,0.62,0.59,0.53,1.03,1.05,1.11,6.0,1.23,2.3,1.0,1.0,0.72,1.48
b_0,0.77,0.8,0.75,0.75,0.44,0.47,1.18,1.07,1.35,1.39,3.64,1.39,1.77,3.46,1.22,1.39
f_0,0.55,0.5,0.83,0.8,0.86,0.87,1.59,1.04,1.04,1.13,1.5,4.11,1.42,1.43,1.44,3.25
h_0,0.7,1.25,0.82,0.67,0.68,0.62,0.64,1.05,1.16,1.68,1.02,1.2,0.84,1.29,1.72,0.99
a_0,0.8,0.62,0.8,0.79,0.74,0.37,1.55,1.09,1.2,1.44,1.45,1.13,1.54,5.12,1.41,1.13
g_0,0.65,0.55,2.02,0.73,0.7,0.44,1.03,0.9,1.15,0.61,1.32,2.27,1.07,1.04,0.77,1.17
e_0,0.36,0.79,0.97,0.7,0.7,0.88,1.69,0.96,1.29,1.36,1.3,1.46,1.69,1.38,1.64,4.33
