,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.84,0.84,0.96,0.95,0.73,0.2,0.2,0.29,0.19,0.19,0.23,0.1,0.19,0.15,0.14
d_1,1.04,0.41,1.02,0.87,0.82,0.85,0.26,0.26,0.17,0.21,0.19,0.19,0.13,0.17,0.19,0.09
e_1,0.61,0.92,0.41,1.06,1.02,0.85,0.27,0.23,0.3,0.18,0.21,0.27,0.14,0.19,0.29,0.16
c_1,0.96,1.37,0.76,0.4,1.07,1.08,0.26,0.11,0.24,0.25,0.18,0.18,0.14,0.17,0.19,0.13
b_1,1.14,1.07,1.13,0.64,0.38,0.84,0.37,0.23,0.33,0.29,0.33,0.2,0.16,0.23,0.2,0.16
a_1,1.56,1.25,1.31,1.2,0.65,0.33,0.38,0.28,0.39,0.26,0.3,0.23,0.22,0.32,0.24,0.16
h_1,1.77,1.56,1.71,1.96,1.76,1.42,0.29,0.37,0.45,0.34,0.35,0.31,0.33,0.3,0.29,0.26
d_0,1.83,2.64,1.18,2.18,2.21,1.89,0.62,0.31,0.6,0.38,0.38,0.4,0.29,0.35,0.39,0.28
g_1,2.12,1.86,1.85,1.97,2.02,1.61,0.44,0.45,0.27,0.42,0.41,0.35,0.23,0.38,0.31,0.35
c_0,2.17,1.23,2.11,2.88,1.98,1.92,0.66,0.66,0.56,0.3,0.48,0.38,0.3,0.39,0.37,0.26
b_0,1.92,1.8,1.9,2.48,3.26,1.91,0.59,0.43,0.54,0.25,0.28,0.41,0.3,0.39,0.43,0.28
f_0,2.88,2.21,2.13,2.32,2.08,2.01,0.6,0.44,0.47,0.38,0.45,0.29,0.33,0.37,0.43,0.2
h_0,2.42,2.25,2.24,2.5,2.33,2.11,0.82,0.51,0.68,0.47,0.46,0.48,0.43,0.4,0.38,0.35
a_0,2.6,2.3,2.39,2.52,3.43,3.41,0.78,0.55,0.66,0.46,0.29,0.5,0.37,0.27,0.44,0.32
e_0,3.81,2.57,2.93,2.7,2.85,2.3,0.67,0.53,0.63,0.5,0.43,0.28,0.38,0.47,0.26,0.28
g_0,3.07,2.72,2.66,2.61,2.62,2.61,0.58,0.58,0.8,0.53,0.5,0.46,0.31,0.41,0.5,0.44
