,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,5.8,9.44,9.21,9.17,8.16,3.97,4.28,2.56,3.18,3.09,2.41,2.83,2.15,,2.01
f_1,11.45,1.07,10.41,8.86,9.22,9.32,3.15,3.7,2.84,2.12,2.35,,2.56,1.51,2.6,1.86
d_1,10.96,8.65,1.07,7.9,9.21,8.37,4.04,2.23,3.42,,3.17,3.0,2.62,2.08,2.3,1.46
c_1,9.02,12.56,10.73,1.07,11.31,7.55,3.79,2.4,,1.79,3.09,2.75,2.27,2.36,3.84,1.97
b_1,12.44,10.17,10.84,6.63,1.07,9.89,3.37,4.22,3.62,2.83,,2.76,3.61,2.56,2.15,2.15
a_1,14.91,13.41,16.71,15.78,10.11,1.07,5.37,6.2,4.14,3.61,4.95,3.91,,3.35,,3.45
h_1,12.34,12.68,10.37,11.89,15.16,10.26,1.41,3.98,4.08,3.9,3.49,3.75,3.22,,4.76,3.25
g_1,14.26,18.25,21.87,22.35,13.43,12.97,5.79,1.41,4.31,4.68,5.65,6.22,4.34,2.49,3.68,
c_0,16.23,14.02,8.44,,15.17,16.13,5.98,6.59,1.73,5.06,4.16,4.15,4.11,3.27,3.16,3.08
d_0,10.13,18.0,,16.06,15.35,13.94,5.21,6.42,5.53,1.74,6.27,3.93,3.4,2.71,2.73,3.66
b_0,14.94,16.69,14.83,18.71,,14.57,5.92,5.3,2.99,4.85,1.73,3.96,6.03,3.69,3.3,3.8
f_0,20.49,,17.27,15.61,15.48,15.14,5.79,4.21,4.26,5.36,6.02,1.71,4.71,4.43,,2.3
a_0,19.96,18.54,22.85,24.43,20.67,,9.3,8.94,6.54,7.91,2.92,8.01,1.68,5.0,5.44,
h_0,15.39,19.33,19.52,21.07,14.05,15.34,,6.59,4.7,6.07,4.02,5.89,4.08,,,4.03
e_0,,24.17,27.94,17.94,21.33,,7.87,8.52,8.0,8.91,7.75,,6.29,,1.77,3.46
g_0,25.44,29.2,21.42,21.12,18.99,14.64,5.54,,5.56,5.49,5.41,6.04,,2.89,5.4,
