,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.94,0.29,0.24,0.2,0.25,0.18,0.23,0.31,0.16,0.12,0.19,0.15,0.17,0.13,0.14,0.15
f_1,0.29,0.94,0.46,0.23,0.21,0.16,0.19,0.18,0.16,0.21,0.17,0.07,0.15,0.12,0.12,0.11
e_1,0.35,0.27,0.94,0.28,0.26,0.2,0.18,0.18,0.13,0.28,0.18,0.18,0.17,0.12,0.14,0.06
c_1,0.38,0.32,0.29,0.94,0.44,0.17,0.15,0.06,0.16,0.16,0.13,0.15,0.19,0.12,0.16,0.15
b_1,0.35,0.31,0.29,0.2,0.93,0.36,0.23,0.21,0.16,0.18,0.12,0.2,0.19,0.11,0.16,0.12
a_1,0.36,0.44,0.3,0.32,0.18,0.93,0.23,0.24,0.2,0.2,0.26,0.2,0.22,0.06,0.2,0.11
h_1,0.55,0.67,0.55,0.58,0.37,0.3,0.72,0.34,0.45,0.3,0.29,0.31,0.22,0.24,0.35,0.19
c_0,0.54,0.61,0.62,0.45,0.45,0.36,0.45,0.62,0.38,0.4,0.57,0.33,0.37,0.37,0.4,0.25
g_1,0.85,0.53,0.54,0.59,0.43,0.34,0.33,0.33,0.72,0.26,0.31,0.41,0.32,0.24,0.22,0.22
d_0,0.27,0.6,0.52,0.96,0.56,0.37,0.38,0.33,0.36,0.61,0.37,0.28,0.34,0.22,0.22,0.19
b_0,0.54,0.71,0.57,0.74,0.2,0.38,0.45,0.36,0.37,0.32,0.62,0.4,0.39,0.5,0.35,0.26
f_0,0.77,0.52,0.46,0.68,0.47,0.34,0.41,0.45,0.44,0.45,0.35,0.61,0.37,0.33,0.3,0.46
h_0,0.72,0.89,0.62,0.54,0.49,0.33,0.28,0.36,0.44,0.43,0.33,0.36,0.22,0.31,0.42,0.27
a_0,0.78,0.7,0.69,0.65,0.6,,0.56,0.41,0.37,0.48,0.32,0.38,0.45,0.6,0.41,0.32
g_0,0.95,0.63,0.56,0.59,0.5,0.35,0.39,0.36,0.35,0.42,0.35,0.53,0.34,0.3,0.23,0.31
e_0,0.7,0.89,0.42,0.57,0.59,0.5,0.55,0.46,0.51,0.53,0.43,0.32,0.4,0.38,0.31,0.59
