,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.92,0.76,0.85,0.92,0.85,0.34,0.39,0.34,0.54,0.36,0.57,0.28,0.39,0.34,0.38
e_1,0.58,0.41,0.97,0.95,1.01,0.99,0.52,0.47,0.37,0.51,0.36,0.46,0.32,0.47,0.7,0.34
d_1,0.89,0.91,0.39,0.98,0.86,0.78,0.41,0.57,0.46,0.32,0.42,0.36,0.31,0.35,0.37,0.23
c_1,0.83,0.77,0.89,0.39,1.07,0.94,0.5,0.24,0.59,0.43,0.35,0.37,0.36,0.33,0.37,0.36
b_1,1.0,0.88,0.91,0.55,0.38,0.99,0.56,0.44,0.49,0.57,0.76,0.38,0.38,0.41,0.38,0.35
a_1,1.0,0.94,0.93,1.02,0.49,0.32,0.72,0.54,0.4,0.57,0.51,0.49,0.37,0.73,0.49,0.4
h_1,1.04,0.73,0.83,0.77,0.69,0.57,0.24,0.31,0.35,0.47,0.41,0.33,0.38,0.35,0.32,0.3
d_0,0.77,0.51,1.37,1.1,0.8,0.65,0.43,0.26,0.32,0.39,0.36,0.4,0.31,0.35,0.4,0.35
c_0,0.85,0.95,0.46,1.05,0.81,0.75,0.42,0.63,0.25,0.49,0.45,0.32,0.29,0.37,0.34,0.32
g_1,0.93,0.75,0.89,0.82,0.72,0.65,0.32,0.37,0.35,0.21,0.36,0.41,0.26,0.32,0.37,0.39
b_0,0.91,0.81,0.67,1.08,0.96,0.63,0.37,0.39,0.22,0.47,0.23,0.33,0.3,0.35,0.35,0.33
f_0,1.33,0.69,0.72,0.87,0.78,0.65,0.42,0.37,0.38,0.28,0.32,0.22,0.31,0.28,0.42,0.19
h_0,0.81,0.77,0.73,0.81,0.72,0.71,0.56,0.36,0.35,0.39,0.37,0.32,0.42,0.33,0.3,0.34
a_0,0.77,0.7,0.75,0.82,0.96,1.01,0.39,0.36,0.35,0.38,0.22,0.34,0.35,0.2,0.35,0.29
e_0,1.25,1.01,0.74,0.75,0.91,0.62,0.4,0.35,0.33,0.34,0.33,0.19,0.35,0.41,0.19,0.28
g_0,0.86,0.78,0.82,0.84,0.82,0.56,0.33,0.35,0.32,0.48,0.32,0.38,0.23,0.32,0.39,0.36
