,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.65,1.18,0.74,1.23,1.05,0.89,0.51,0.5,0.41,0.6,0.45,0.45,0.3,0.36,0.56,0.41
d_1,1.21,0.64,1.22,1.11,0.99,0.94,0.47,0.61,0.43,0.33,0.41,0.33,0.31,0.22,0.35,0.35
f_1,1.2,1.05,0.65,1.15,0.98,0.94,0.39,0.39,0.38,0.53,0.37,0.49,0.27,0.35,0.34,0.37
c_1,0.91,1.28,1.0,0.64,1.32,0.95,0.5,0.26,0.46,0.45,0.37,0.39,0.32,0.3,0.37,0.3
b_1,1.15,1.3,1.36,0.69,0.62,1.57,0.56,0.42,0.51,0.49,0.53,0.41,0.4,0.37,0.4,0.36
a_1,1.53,1.45,1.43,1.52,0.75,0.57,0.65,0.56,0.48,0.68,0.6,0.53,0.42,0.43,0.43,0.52
h_1,1.65,1.85,2.12,1.7,1.6,1.35,0.54,0.63,0.61,0.83,0.59,0.56,0.56,0.5,0.53,0.6
d_0,1.19,2.12,1.91,2.56,1.98,1.58,0.94,0.58,0.64,0.94,0.75,0.66,0.53,0.56,0.69,0.61
c_0,2.05,1.32,2.24,2.44,1.91,1.65,0.9,1.02,0.57,0.79,0.77,0.68,0.6,0.54,0.66,0.66
g_1,1.68,2.13,1.99,1.98,1.86,1.56,0.69,0.73,0.78,0.53,0.82,0.71,0.45,0.54,0.67,0.59
b_0,1.94,1.72,2.42,2.52,2.33,1.51,0.9,0.74,0.48,0.81,0.55,0.63,0.61,0.63,0.59,0.69
f_0,1.87,2.04,2.76,2.21,2.04,1.6,0.97,0.86,0.76,0.65,0.79,0.56,0.6,0.45,0.73,0.63
h_0,2.22,2.13,2.3,2.35,2.03,1.9,1.14,0.93,0.79,1.07,0.78,0.77,0.77,0.68,0.61,0.64
g_0,2.06,2.66,2.6,2.64,2.27,2.09,0.86,0.99,0.84,1.17,0.76,0.84,0.57,0.8,0.76,0.7
e_0,3.01,1.95,2.92,2.54,2.48,1.84,1.13,1.01,0.89,0.82,0.94,0.58,0.77,0.71,0.52,0.7
a_0,2.22,2.06,2.89,2.95,2.81,2.79,1.13,0.89,0.78,1.09,0.58,0.86,0.78,0.73,0.75,0.54
