,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10238.36,3678.43,4412.27,3065.7,5116.75,18427.03,4950827.27,18072657.79,7529695.24,16169675.1,23886619.39,30793562.75,79383480.72,148108724.9,97575164.97,345013545.06
f_1,3991.86,13626.58,3249.68,3129.83,5469.66,25591.78,4637158.2,8727411.77,7395204.65,18537452.49,19936465.03,14287038.44,82916486.04,124262048.64,128665848.56,259365501.98
c_1,2127.12,2854.88,14858.55,3487.22,11951.87,17092.57,4540133.68,10327500.09,7241045.47,5929773.27,17585044.46,29628104.17,86910223.03,155379271.26,170560465.67,287194440.14
d_1,2037.88,2898.43,2344.97,17586.31,7380.98,23168.77,6417476.66,4056746.56,8814828.75,37437781.95,24678667.34,30609462.63,90261484.75,172613617.84,197330909.13,383210567.42
b_1,2170.35,2581.22,3082.31,3620.84,36761.52,51067.22,4112562.79,9389565.6,6451525.05,16961680.24,7301433.85,27951913.28,87860918.63,135403700.25,208262206.11,292505064.92
a_1,2751.54,3044.14,2787.18,3568.98,5787.91,193138.53,4958800.32,7510623.76,7742439.34,20410143.89,25460588.02,29426967.6,102636260.76,71314057.77,197572115.8,420612255.19
h_1,2563.83,5106.02,3182.5,5073.89,6472.01,24958.69,19991565.3,10776074.76,13957771.81,23187848.45,24455054.43,36963606.67,55698040.01,196930598.89,186363743.32,596237711.93
d_0,2831.5,4008.81,7314.76,1855.17,8044.66,25937.46,7288796.17,22792353.28,7923325.41,16621774.58,29353257.97,35532172.88,100011782.19,219608805.86,253457868.47,363322391.84
g_1,2226.5,3204.72,3284.34,7081.85,6813.89,27393.53,6571763.18,10494098.88,33696537.62,25380554.0,30786033.59,61261706.06,102591542.58,161054941.65,228009724.32,288138284.57
c_0,2562.1,4331.56,2384.21,5235.77,6162.28,31768.89,7682882.86,11029279.71,10705048.46,50147483.49,56180109.7,37034909.92,124427051.67,211868710.55,278345204.39,433909736.38
b_0,2846.01,3496.46,4224.62,5469.4,3009.62,25026.15,6825390.08,13420156.19,10031453.44,23533371.33,63754987.84,40005056.59,118766590.41,402158758.69,332208762.86,481385042.11
f_0,2167.36,2417.61,4219.36,4927.79,8335.52,32044.83,6998212.93,12736297.34,9977520.89,22391434.49,34579889.3,87744788.96,115577122.17,174266552.62,555395779.92,629116923.32
h_0,2662.69,5477.52,3983.84,4688.79,6943.68,24949.08,4578643.32,11509730.14,13410894.13,23783170.4,27588652.43,40719723.74,70073986.31,200254174.46,226790272.77,590479380.05
a_0,2599.13,4050.57,3920.68,5525.96,7241.36,17204.18,6855440.82,16619763.72,7958947.3,31941136.5,29281275.91,37747035.71,116421007.46,566186417.25,243270490.77,406839027.29
e_0,1393.29,4280.66,4503.13,4704.47,8326.47,44626.54,7700894.7,11416493.72,8862208.89,20867887.52,25126152.35,36169490.92,113794488.87,189196164.49,720502027.56,642253311.23
g_0,2508.03,2950.21,3208.14,8639.62,8677.09,30063.88,6092027.22,8179349.39,5442284.12,20795207.16,31911993.37,56538850.03,107005613.11,208537896.92,273284382.49,289143612.96
