,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.79,0.88,0.67,0.94,0.73,0.65,0.97,1.01,1.57,0.95,0.99,1.14,0.96,1.03,0.95,0.86
f_1,1.2,1.74,0.83,0.82,0.71,0.73,1.0,0.83,0.97,0.83,0.99,0.64,0.97,0.93,1.04,0.66
d_1,0.8,0.88,1.91,0.71,0.73,0.79,1.0,0.99,0.66,1.68,1.2,0.98,1.0,1.04,0.96,0.89
c_1,0.81,0.84,0.79,1.9,1.33,0.72,0.94,0.88,0.93,0.6,0.7,0.9,0.99,0.94,0.92,1.03
b_1,0.72,0.8,0.85,0.78,2.25,1.47,0.8,0.87,0.81,0.9,0.65,0.88,0.79,0.96,0.89,0.99
a_1,0.76,0.84,0.9,0.9,0.76,3.06,1.06,1.06,0.97,0.91,1.11,0.98,0.72,1.1,0.94,1.19
h_1,0.89,1.05,0.87,0.94,0.89,0.65,1.69,1.31,0.94,0.97,1.06,1.03,1.09,0.85,1.31,1.16
g_1,0.77,0.69,1.3,0.85,0.79,0.87,1.04,1.88,0.72,1.05,0.95,1.61,0.95,1.0,0.96,1.26
d_0,0.78,0.86,0.72,1.38,0.85,0.82,0.98,1.02,1.42,0.68,0.97,1.16,0.88,1.03,1.06,1.24
c_0,0.84,1.0,1.0,0.75,0.71,0.89,0.98,1.13,0.97,1.52,1.88,1.25,1.32,1.12,1.07,1.05
b_0,0.83,1.0,0.94,0.95,0.58,0.79,0.98,1.06,0.99,1.05,1.7,1.13,2.06,1.18,1.23,1.11
f_0,0.69,0.77,1.07,0.98,0.82,0.91,1.18,1.22,1.03,1.09,1.07,1.73,1.16,1.16,1.1,2.14
a_0,0.82,0.88,1.15,0.88,0.86,0.5,1.15,0.95,0.93,1.0,1.19,1.19,1.84,1.07,1.3,1.12
h_0,0.86,1.14,0.99,0.85,0.82,0.78,0.82,1.1,0.89,0.88,1.03,0.95,1.14,0.81,1.35,0.93
g_0,0.79,0.85,1.24,0.83,0.82,0.8,1.01,0.95,0.97,1.08,1.08,1.53,1.12,1.11,0.9,1.2
e_0,0.67,0.92,0.94,0.95,0.96,0.96,1.19,1.07,1.03,1.05,0.98,1.08,1.06,0.88,1.28,2.01
