,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.19,7.1,15.04,12.12,12.37,15.63,3.36,2.25,2.74,2.87,2.99,3.72,1.72,2.24,3.03,
f_1,13.13,0.18,13.13,12.05,12.0,11.66,2.5,2.67,2.59,4.31,2.58,,1.2,2.45,2.12,
d_1,18.05,12.51,0.16,15.66,11.51,12.67,4.39,,2.07,2.03,2.47,2.11,1.85,2.06,1.22,2.08
c_1,11.83,12.68,14.58,0.15,15.36,15.26,3.88,1.4,,3.32,3.73,2.2,1.64,3.78,1.58,1.61
b_1,11.39,11.05,14.73,7.19,0.13,13.29,3.17,2.84,3.3,,,2.14,1.93,2.2,1.77,2.81
a_1,14.21,10.83,12.67,16.27,10.13,0.09,2.44,3.08,2.76,4.36,3.35,,1.69,,1.79,
h_1,2.89,3.33,3.84,2.75,3.07,3.22,0.07,0.67,0.53,1.11,0.6,0.64,,0.6,0.73,0.76
d_0,1.52,2.8,,1.83,1.97,2.31,0.67,0.09,0.61,0.86,0.58,0.44,0.37,0.4,0.4,0.79
c_0,3.56,2.41,1.32,,2.14,2.1,0.76,0.53,0.08,0.66,0.59,0.49,0.35,0.75,0.3,
g_1,3.15,4.74,2.6,4.01,,2.82,0.74,0.72,0.82,0.05,0.7,0.57,0.33,,,
b_0,2.28,2.38,3.13,4.15,,2.76,0.7,0.55,0.28,0.77,0.07,0.65,0.27,0.67,0.33,0.62
f_0,4.09,,2.32,3.04,3.97,,0.56,0.38,0.46,0.35,0.44,0.07,0.47,0.47,0.19,0.49
h_0,1.52,1.81,1.36,2.04,1.85,1.6,,0.25,0.44,0.59,0.26,0.38,,0.35,0.2,0.29
a_0,2.42,2.45,2.75,2.27,3.04,,1.01,0.69,0.61,,0.27,0.5,0.54,0.04,0.33,
g_0,1.95,2.3,1.5,1.7,2.18,1.91,0.36,0.44,0.3,,0.3,0.39,0.16,0.38,,0.26
e_0,,,3.05,2.1,2.03,,0.76,0.5,,,0.62,0.2,0.34,,0.33,0.04
