,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.65,0.89,0.97,0.89,0.8,0.52,0.58,0.41,0.41,0.42,0.42,0.33,0.26,0.28,
f_1,1.53,1.0,1.11,0.93,0.93,0.54,0.43,0.39,0.41,0.36,0.42,,0.35,0.38,0.31,0.25
d_1,1.12,0.9,1.0,0.92,0.87,,0.51,,0.44,0.69,0.43,0.44,0.31,0.33,0.25,0.28
c_1,1.03,1.08,1.08,1.0,1.52,0.61,0.6,0.37,0.45,,0.49,0.38,0.39,0.34,0.37,0.22
b_1,1.13,1.08,1.15,0.66,1.0,1.34,0.57,0.56,0.45,0.64,,0.55,0.31,0.35,0.31,0.48
a_1,1.24,1.86,,1.64,0.74,1.0,0.52,0.6,,0.55,0.37,0.46,0.47,,0.51,0.36
h_1,1.91,2.35,1.95,1.66,1.77,1.94,1.0,0.97,1.01,0.84,0.79,0.65,,0.72,0.84,0.91
d_0,1.73,2.56,,2.73,1.8,1.67,1.04,1.0,1.06,1.13,0.82,0.88,0.98,0.64,0.82,0.73
g_1,2.43,2.41,2.28,2.23,2.21,,0.99,0.95,1.0,0.97,1.18,1.13,0.74,0.72,,
c_0,2.44,2.75,1.45,,1.57,1.83,1.19,0.88,1.03,1.0,1.31,0.93,0.82,0.64,1.09,0.83
b_0,2.36,2.4,2.35,2.05,,2.68,1.26,1.21,0.85,0.76,1.0,0.95,0.95,1.07,0.79,0.8
f_0,2.36,,2.28,2.61,1.83,2.15,1.54,1.13,0.89,1.08,1.06,1.0,0.85,1.0,0.54,0.98
h_0,3.04,2.84,3.18,2.58,3.26,2.13,,1.03,1.35,1.23,1.05,1.18,,0.81,1.0,0.88
a_0,3.84,2.62,3.07,2.94,2.84,,1.38,1.57,1.39,1.56,0.94,1.0,1.23,1.0,1.18,
g_0,3.61,3.22,3.93,2.73,3.2,1.95,1.19,1.22,,0.92,1.27,1.84,1.0,0.84,,1.19
e_0,,3.99,3.58,4.49,2.09,2.76,1.1,1.38,,1.2,1.26,1.02,1.13,,0.84,1.0
