,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.42,1.0,0.79,0.89,0.79,0.79,0.36,0.37,0.46,0.38,0.59,0.4,0.26,0.43,0.32,0.43
e_1,0.56,0.42,1.12,0.88,0.97,0.97,0.52,0.5,0.54,0.39,0.48,0.4,0.41,0.59,0.55,0.34
c_1,1.02,0.7,0.39,1.06,1.11,0.72,0.43,0.25,0.5,0.48,0.36,0.33,0.35,0.35,0.35,0.34
d_1,0.88,1.0,0.82,0.38,0.87,0.78,0.52,0.69,0.34,0.43,0.38,0.48,0.36,0.43,0.38,0.24
b_1,0.98,0.96,0.52,0.92,0.36,1.18,0.49,0.43,0.52,0.41,0.38,0.6,0.35,0.36,0.44,0.31
a_1,1.03,0.85,0.98,0.99,0.5,0.31,0.52,0.48,0.47,0.47,0.41,0.43,0.34,0.4,0.65,0.36
h_1,0.84,0.8,0.86,0.74,0.76,0.75,0.24,0.31,0.44,0.34,0.31,0.35,0.31,0.28,0.31,0.29
d_0,0.82,0.47,1.03,1.27,0.74,0.67,0.48,0.26,0.48,0.36,0.38,0.4,0.32,0.32,0.33,0.5
g_1,0.86,0.75,0.84,0.77,0.78,0.87,0.31,0.37,0.22,0.29,0.42,0.32,0.23,0.35,0.37,0.36
c_0,0.87,0.79,1.42,0.46,0.88,0.77,0.43,0.38,0.49,0.25,0.34,0.45,0.32,0.33,0.41,0.33
f_0,1.43,0.66,0.89,0.64,0.83,0.73,0.52,0.33,0.3,0.35,0.24,0.36,0.32,0.44,0.36,0.22
b_0,0.85,0.74,1.1,0.61,1.16,0.82,0.42,0.35,0.42,0.21,0.34,0.23,0.26,0.31,0.4,0.31
h_0,0.89,0.65,0.75,0.78,0.72,0.67,0.65,0.35,0.49,0.35,0.32,0.35,0.36,0.3,0.35,0.31
e_0,0.96,0.82,1.03,0.63,0.84,0.7,0.49,0.4,0.39,0.3,0.2,0.35,0.32,0.2,0.36,0.27
a_0,1.04,0.69,0.88,0.71,0.79,0.81,0.45,0.38,0.38,0.29,0.36,0.22,0.29,0.28,0.19,0.35
g_0,0.82,0.85,0.72,0.84,0.74,0.74,0.35,0.29,0.59,0.39,0.34,0.33,0.24,0.32,0.31,0.36
