,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.38,0.73,0.74,0.74,0.7,0.18,0.13,0.22,0.13,0.12,0.16,0.13,0.15,0.29,0.12
f_1,0.52,0.17,0.59,0.77,0.75,0.65,0.13,0.13,0.22,0.12,0.12,0.24,0.07,0.12,0.11,0.13
d_1,0.91,0.73,0.15,0.6,0.58,0.55,0.18,0.34,0.13,0.13,0.14,0.11,0.1,0.11,0.13,0.06
c_1,0.55,0.66,0.89,0.15,0.62,0.62,0.22,0.07,0.19,0.26,0.12,0.13,0.1,0.14,0.12,0.08
b_1,0.75,0.76,0.57,0.4,0.13,0.65,0.25,0.16,0.15,0.16,0.31,0.14,0.08,0.18,0.14,0.11
a_1,0.68,0.66,0.65,0.76,0.37,0.09,0.23,0.16,0.2,0.17,0.18,0.16,0.11,0.25,0.13,0.11
h_1,0.51,0.64,0.48,0.54,0.55,0.46,0.06,0.11,0.14,0.1,0.1,0.08,0.11,0.09,0.08,0.07
d_0,0.3,0.52,0.94,0.58,0.56,0.5,0.18,0.07,0.16,0.12,0.1,0.12,0.08,0.11,0.1,0.1
g_1,0.53,0.54,0.5,0.54,0.62,0.47,0.12,0.12,0.05,0.12,0.11,0.12,0.06,0.1,0.1,0.17
c_0,0.61,0.53,0.27,1.04,0.53,0.59,0.18,0.16,0.17,0.05,0.13,0.12,0.07,0.11,0.1,0.07
b_0,0.48,0.58,0.43,0.62,0.87,0.44,0.14,0.11,0.15,0.06,0.06,0.09,0.07,0.11,0.1,0.06
f_0,0.54,0.95,0.47,0.47,0.55,0.48,0.16,0.11,0.1,0.1,0.1,0.05,0.07,0.11,0.12,0.04
h_0,0.58,0.52,0.44,0.46,0.54,0.45,0.22,0.12,0.14,0.11,0.09,0.12,0.11,0.09,0.08,0.08
a_0,0.5,0.61,0.51,0.57,0.63,0.84,0.13,0.14,0.15,0.1,0.05,0.09,0.07,0.04,0.09,0.09
e_0,0.75,0.72,0.45,0.49,0.51,0.56,0.17,0.12,0.14,0.1,0.11,0.05,0.07,0.09,0.04,0.07
g_0,0.5,0.62,0.53,0.59,0.47,0.5,0.11,0.1,0.22,0.11,0.11,0.1,0.06,0.11,0.09,0.09
