,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.98,0.92,0.88,0.75,0.61,0.65,0.64,0.59,0.6,0.63,0.51,0.56,0.43,0.57
e_1,0.8,1.0,1.24,0.92,1.0,0.7,0.74,0.88,0.9,0.67,0.65,0.72,0.58,0.57,0.54,0.62
c_1,1.02,0.81,1.0,1.17,1.24,0.91,0.69,0.68,0.49,0.45,0.58,0.56,0.59,0.57,0.63,0.55
d_1,1.09,1.09,0.85,1.0,1.03,0.76,0.71,0.55,0.61,0.85,0.74,0.65,0.67,0.61,0.64,0.44
b_1,1.14,1.0,0.8,0.98,1.0,1.38,0.8,0.73,0.77,0.83,0.59,0.67,0.64,0.55,0.62,0.67
a_1,1.33,1.4,1.1,1.32,0.73,1.0,0.98,0.78,0.67,0.69,0.8,0.67,0.72,0.54,0.6,0.58
h_1,1.67,1.33,1.46,1.4,1.23,0.98,1.0,1.06,0.89,0.85,0.92,0.76,1.01,0.78,0.77,1.03
g_1,1.5,1.14,1.54,1.82,1.4,1.34,0.96,1.0,0.99,0.98,0.95,1.28,0.74,1.16,0.93,0.8
d_0,1.58,1.07,2.13,1.57,1.34,1.46,1.11,1.0,1.0,0.81,1.02,0.92,1.0,0.91,0.83,1.0
c_0,1.76,1.52,1.94,1.16,1.24,1.4,1.19,1.01,1.2,1.0,1.3,0.93,1.04,1.04,1.0,0.86
b_0,1.7,1.56,1.82,1.34,1.65,1.2,1.08,1.02,0.97,0.72,1.0,1.03,1.07,1.25,0.98,1.08
f_0,1.62,1.3,1.89,1.51,1.46,1.46,1.26,0.8,1.05,1.11,0.96,1.0,1.09,0.86,1.39,0.89
h_0,2.03,1.69,1.62,1.58,1.63,1.5,1.0,1.36,0.99,0.95,0.91,0.96,1.0,0.95,0.77,1.06
a_0,1.83,1.79,1.88,1.61,1.78,1.63,1.29,0.86,1.03,0.96,0.77,1.15,0.98,1.0,0.74,0.97
e_0,2.38,1.74,1.63,1.51,1.52,1.6,1.3,1.1,1.24,0.98,1.0,0.78,1.38,1.31,1.0,0.95
g_0,1.72,1.63,1.9,2.09,1.48,1.78,0.99,1.24,0.99,1.07,0.93,1.17,0.95,1.02,1.02,1.0
