,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.21,0.88,1.03,0.95,0.87,0.91,1.1,0.92,1.04,0.98,0.87,1.01,0.92,0.81,1.04
e_1,0.82,1.0,1.0,1.16,1.03,1.01,1.07,1.13,0.97,1.4,1.03,1.11,1.06,1.05,1.01,1.06
d_1,1.12,1.02,1.0,0.96,0.94,0.91,0.97,0.83,1.25,0.94,1.13,0.95,0.96,0.96,1.01,0.83
c_1,0.99,0.86,1.03,1.0,1.36,0.99,1.01,1.0,0.91,0.72,0.85,1.04,0.93,1.02,0.99,1.02
b_1,1.04,0.98,1.07,0.77,1.0,1.36,1.03,1.02,1.09,0.92,0.96,1.04,0.88,0.97,1.0,0.98
a_1,1.13,0.98,1.08,1.0,0.74,1.0,1.07,1.0,1.0,1.01,1.16,1.01,1.09,1.07,1.21,1.11
h_1,1.12,0.96,1.02,0.98,0.95,0.94,1.0,1.1,0.9,0.94,0.93,1.03,1.05,1.08,0.94,1.17
g_1,0.95,0.93,1.2,0.99,0.93,0.97,0.93,1.0,1.06,0.94,0.96,1.13,0.95,0.92,1.08,1.15
c_0,1.07,1.03,0.82,1.08,0.92,0.95,1.12,0.96,1.0,1.25,1.38,1.01,1.16,1.03,1.1,1.09
d_0,0.9,0.72,1.1,1.41,1.1,1.02,1.05,1.09,0.79,1.0,0.89,1.02,0.99,1.04,1.09,1.06
b_0,1.0,0.97,0.87,1.22,1.04,0.89,1.1,1.07,0.73,1.08,1.0,0.93,1.39,1.09,1.1,1.04
f_0,1.1,0.92,1.06,0.96,0.96,0.98,1.01,0.87,0.93,0.99,1.04,1.0,0.98,1.02,1.32,0.85
a_0,0.98,0.96,1.02,1.07,1.1,0.87,0.95,1.04,0.84,1.01,0.71,1.02,1.0,1.11,1.0,1.02
h_0,1.1,0.96,1.02,0.99,1.01,0.91,0.96,1.08,0.97,0.95,0.89,0.95,0.89,1.0,0.92,1.11
e_0,1.26,1.06,1.03,0.95,0.96,0.77,1.05,0.89,0.98,0.93,0.96,0.79,1.02,1.12,1.0,0.92
g_0,0.96,0.92,1.18,1.0,1.04,0.91,0.85,0.86,0.96,0.89,0.92,1.12,0.99,0.91,1.06,1.0
