,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.17,0.85,0.71,0.56,0.67,0.77,0.99,0.54,1.7,0.96,1.2,1.07,0.98,1.19,1.07,0.98
f_1,0.68,2.08,1.29,0.73,0.61,0.67,0.97,0.98,0.91,0.88,0.94,0.63,0.93,0.86,0.65,0.88
e_1,0.62,0.77,2.22,0.92,0.76,0.67,0.91,1.74,0.91,0.9,0.89,0.94,1.01,1.0,0.72,1.02
c_1,0.79,0.7,0.65,2.3,1.37,0.63,0.88,0.86,0.54,0.86,0.69,0.92,0.96,0.93,1.02,0.92
b_1,0.77,0.74,0.64,0.81,2.52,1.41,0.98,1.04,0.76,0.89,0.7,0.98,0.92,0.72,0.94,0.89
a_1,0.83,0.91,0.75,0.82,0.56,3.31,0.99,0.82,0.84,0.95,1.01,0.93,1.08,0.58,0.9,1.01
h_1,0.86,1.18,0.84,0.79,0.78,0.77,2.03,0.81,0.97,1.25,1.0,1.08,0.78,0.84,1.1,1.38
d_0,0.53,0.76,0.75,1.56,0.95,0.83,1.0,1.6,0.7,1.02,1.06,0.99,1.06,1.06,1.02,1.08
c_0,0.99,0.94,0.82,0.69,0.61,0.7,1.11,1.01,1.68,1.12,1.91,1.22,1.07,1.45,1.14,1.14
g_1,1.33,0.71,0.61,0.83,0.83,0.68,0.91,0.82,1.01,2.47,1.13,1.71,1.09,0.81,1.26,0.86
b_0,1.03,0.96,0.79,0.87,0.5,0.57,1.11,0.93,1.15,1.1,2.04,1.14,1.31,2.27,1.27,1.14
f_0,1.09,0.65,0.7,0.87,0.94,0.66,1.01,0.83,1.24,1.17,1.24,2.08,1.25,1.13,2.66,1.16
h_0,0.94,1.07,0.74,0.86,0.8,0.77,0.8,0.94,0.99,1.56,1.15,1.03,0.79,1.13,1.15,1.47
a_0,0.96,0.88,0.83,0.91,0.78,0.43,1.24,1.09,1.17,1.23,1.29,1.08,1.28,2.4,1.18,1.17
e_0,0.97,0.92,0.66,0.84,0.98,0.65,0.97,0.97,1.11,1.13,1.01,1.29,1.37,1.22,2.44,1.46
g_0,1.39,0.72,0.62,0.85,0.85,0.81,0.97,0.73,1.11,0.83,1.04,1.62,1.03,1.16,1.39,0.9
