,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.96,0.8,0.68,0.89,0.74,0.75,0.94,0.99,0.96,1.57,0.92,1.02,0.99,1.03,0.66,0.98
f_1,1.27,2.09,0.66,0.77,0.65,0.63,0.88,0.8,0.8,0.92,0.56,0.93,0.98,0.88,0.69,0.79
d_1,0.71,0.75,2.21,0.57,0.7,0.78,1.06,0.96,1.74,0.63,1.09,1.26,1.02,0.92,1.06,1.13
c_1,0.67,0.68,0.78,2.39,1.39,0.69,0.95,0.88,0.44,0.86,0.98,0.62,0.95,0.91,0.99,0.89
b_1,0.66,0.82,0.77,0.81,2.55,1.32,0.89,0.97,0.81,0.79,0.99,0.48,0.64,1.01,0.87,0.84
a_1,0.86,0.79,0.81,0.74,0.6,3.44,1.03,0.96,0.98,1.02,1.05,1.02,0.69,1.2,1.25,1.05
h_1,0.75,1.13,0.85,0.87,0.77,0.77,1.95,1.27,0.96,0.96,0.91,1.22,0.99,0.82,1.09,1.39
g_1,0.75,0.76,1.23,0.88,0.84,0.63,0.83,2.23,1.04,0.88,1.54,1.02,0.92,1.16,1.02,0.9
c_0,0.78,0.98,1.02,0.7,0.61,0.75,1.14,1.03,1.72,0.97,1.16,2.17,1.32,1.23,1.42,1.26
d_0,0.75,0.88,0.63,1.5,0.89,0.51,0.97,1.05,0.73,1.63,1.0,1.01,1.13,1.2,1.26,0.89
f_0,0.67,0.68,1.01,0.92,0.74,0.81,1.09,1.05,1.21,1.19,2.05,1.2,1.19,1.11,2.51,1.27
b_0,0.8,0.97,0.9,0.98,0.52,0.59,1.07,1.06,1.09,1.14,1.24,2.04,2.19,1.17,1.19,1.39
a_0,0.78,1.01,0.96,0.9,0.7,0.51,1.19,1.12,1.05,0.99,1.17,1.04,2.46,1.14,1.05,1.14
h_0,0.79,1.19,0.94,0.73,0.73,0.82,0.74,1.33,1.01,0.92,0.99,0.95,1.03,0.9,0.88,1.45
e_0,0.7,1.01,0.9,0.8,0.93,0.62,1.11,0.98,1.07,1.0,1.24,1.29,1.32,1.07,2.44,1.2
g_0,0.75,0.72,1.39,0.82,0.73,0.72,0.96,0.79,1.01,0.9,1.62,1.24,1.18,1.04,1.25,0.94
