,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.65,1.13,1.05,0.98,0.98,0.89,0.39,0.5,0.43,0.35,0.48,0.38,0.27,0.35,0.37,0.35
e_1,0.75,0.65,1.26,1.08,1.09,0.96,0.48,0.55,0.47,0.39,0.47,0.39,0.34,0.47,0.43,0.34
c_1,1.18,0.88,0.64,1.34,1.23,0.83,0.5,0.48,0.26,0.42,0.37,0.36,0.34,0.37,0.36,0.34
d_1,1.17,1.26,1.08,0.64,1.11,0.99,0.48,0.33,0.55,0.43,0.39,0.36,0.32,0.34,0.32,0.25
b_1,1.26,1.24,0.75,1.23,0.62,1.52,0.57,0.55,0.4,0.58,0.43,0.6,0.35,0.4,0.38,0.31
a_1,1.54,1.31,1.66,1.54,0.79,0.56,0.66,0.68,0.52,0.52,0.52,0.68,0.48,0.49,0.56,0.41
h_1,1.87,1.82,1.7,1.66,1.48,1.52,0.55,0.9,0.63,0.68,0.67,0.66,0.58,0.59,0.54,0.56
g_1,2.05,1.95,1.89,2.1,1.95,1.44,0.66,0.53,0.61,0.71,0.77,0.62,0.43,0.57,0.61,0.59
d_0,1.77,1.31,2.44,2.01,2.13,1.54,0.91,1.0,0.6,0.65,0.72,0.68,0.61,0.68,0.63,0.58
c_0,2.13,1.98,2.9,1.28,1.95,2.02,0.86,0.81,0.89,0.56,0.73,0.83,0.61,0.72,0.71,0.52
f_0,2.37,1.8,2.16,1.95,2.0,1.5,0.9,0.6,0.71,0.76,0.55,0.76,0.63,0.68,0.69,0.41
b_0,2.04,2.12,2.75,1.79,2.42,1.69,0.9,0.92,0.73,0.47,0.67,0.55,0.66,0.62,0.83,0.55
h_0,2.33,2.2,2.16,2.1,2.16,1.88,1.13,1.1,0.78,0.72,0.76,0.67,0.7,0.72,0.66,0.61
e_0,3.01,2.74,2.18,2.31,2.26,1.95,1.02,0.9,0.92,0.77,0.54,0.95,0.7,0.53,0.8,0.5
a_0,2.4,2.16,2.43,2.55,2.47,2.36,1.16,0.99,0.84,0.75,0.84,0.5,0.64,0.74,0.54,0.6
g_0,2.42,2.37,2.4,2.22,2.28,2.45,0.88,1.2,0.93,0.87,0.98,0.99,0.61,0.8,0.83,0.85
