,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10.9,1.63,0.68,0.69,0.54,0.52,0.77,0.91,0.78,0.71,0.78,0.59,0.85,0.88,0.77,0.57
e_1,0.59,12.02,0.52,0.85,0.72,0.71,0.93,0.82,2.46,0.87,1.05,1.08,0.83,0.77,0.98,0.71
d_1,0.67,0.5,15.32,0.52,0.61,0.6,1.1,1.01,0.51,2.35,1.41,1.0,1.1,1.17,1.03,1.12
c_1,0.69,0.59,0.54,13.57,1.54,0.73,0.87,0.82,0.77,0.5,0.57,1.02,0.9,1.06,0.83,0.94
b_1,0.67,0.58,0.59,0.63,15.65,1.7,0.9,0.82,0.89,0.72,0.5,0.88,1.19,0.63,1.13,0.96
a_1,0.78,0.57,0.8,0.63,0.71,20.8,0.9,1.0,0.81,1.18,1.06,1.0,1.29,0.56,0.91,0.83
h_1,1.26,0.69,0.93,0.71,0.56,0.53,3.55,1.64,1.06,1.02,1.14,0.91,0.63,1.1,1.5,1.18
g_1,0.65,0.57,1.61,0.71,0.65,0.67,1.07,4.56,0.86,0.99,1.09,1.64,0.91,1.17,0.77,1.11
d_0,0.69,0.66,0.42,2.48,0.68,0.72,1.05,0.76,2.19,0.61,1.21,1.0,0.99,1.05,0.95,1.36
c_0,0.91,0.61,1.08,0.55,0.4,0.62,1.34,1.3,1.01,2.63,3.64,1.09,1.39,1.52,1.44,1.59
b_0,0.88,0.67,1.05,0.81,0.38,0.52,1.33,1.28,1.06,1.23,2.97,1.12,1.25,3.28,1.15,1.55
f_0,0.51,0.5,1.09,0.82,0.78,0.73,1.25,1.23,1.22,1.32,1.39,3.37,1.17,1.33,1.59,3.69
h_0,1.24,0.7,0.89,0.74,0.68,0.68,0.68,1.44,0.82,0.96,1.12,1.02,0.73,1.29,1.75,1.07
a_0,1.1,0.58,0.95,0.81,0.69,0.37,1.38,1.07,0.98,1.07,1.17,1.23,1.35,3.41,1.39,1.74
g_0,0.58,0.54,1.66,0.76,0.66,0.66,0.83,0.67,0.91,1.12,1.28,2.51,1.2,1.13,0.99,1.55
e_0,1.04,0.58,0.78,1.0,0.62,0.62,1.2,1.19,1.1,1.03,1.21,1.08,1.62,1.67,1.42,3.83
