,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.15,75.43,39.11,93.3,97.18,83.96,26.6,25.6,13.13,11.94,20.78,23.37,20.95,,19.56,17.78
d_1,102.94,1.15,88.26,90.56,75.58,155.0,24.94,13.71,,17.92,13.36,15.58,14.96,22.65,16.76,6.81
f_1,109.0,82.44,1.15,99.32,97.18,80.6,15.65,33.39,22.03,19.55,,13.05,7.91,24.06,16.0,12.8
c_1,97.53,118.17,111.03,1.15,129.57,71.96,31.92,30.72,8.99,,24.39,19.34,17.46,22.65,23.47,12.31
b_1,115.81,101.29,122.93,66.93,1.15,125.94,25.74,27.43,25.3,30.71,20.04,,16.76,22.65,,24.62
a_1,161.13,147.71,215.12,153.95,100.78,1.15,46.94,38.4,28.46,37.94,37.4,31.17,19.05,29.62,,24.62
h_1,95.03,107.42,98.34,114.04,77.74,80.6,2.0,36.57,18.46,23.89,17.0,16.03,,27.5,23.47,13.91
g_1,97.53,90.9,118.69,90.56,104.65,106.05,21.0,2.0,27.32,20.81,51.0,29.53,10.74,16.74,27.08,
d_0,53.71,,86.05,68.42,75.58,143.93,25.74,24.77,2.98,26.88,14.76,17.0,13.52,20.26,16.0,15.24
c_0,97.53,52.91,107.56,,77.74,134.33,25.74,24.0,25.3,2.87,25.5,22.44,11.03,18.33,19.56,16.84
f_0,112.3,126.61,,114.04,108.84,118.53,49.88,21.94,21.34,16.97,2.86,28.05,13.09,32.08,18.53,10.32
b_0,148.24,101.29,104.3,139.95,,111.94,44.33,30.72,28.46,15.0,22.44,2.97,10.47,13.75,18.53,18.82
h_0,100.16,110.78,132.38,83.22,100.78,100.75,,33.39,18.97,14.66,15.16,23.37,,16.04,22.0,8.89
e_0,,161.14,264.77,219.93,226.75,125.94,31.92,34.91,28.46,40.31,23.37,43.15,20.95,2.85,,18.82
a_0,148.24,208.53,172.1,192.44,,,57.0,59.08,40.18,40.31,31.17,15.16,29.93,,3.03,24.62
g_0,142.54,168.81,122.93,139.95,160.06,106.05,19.95,,31.05,32.25,25.5,35.06,12.7,18.33,32.0,
