,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.98,3.74,2.12,2.26,1.98,1.78,6.47,11.3,9.72,7.25,9.61,5.63,15.21,11.13,6.1,13.28
e_1,2.48,6.0,1.88,2.76,2.16,2.08,8.93,17.42,8.4,8.06,10.68,10.69,16.47,14.11,7.92,16.25
d_1,2.63,2.0,6.74,1.83,2.01,2.35,7.61,5.77,19.41,7.49,14.13,11.84,18.43,12.48,12.07,17.24
c_1,2.3,2.17,1.92,6.75,3.92,2.21,8.02,8.43,6.64,7.91,6.32,10.07,13.22,10.13,12.45,14.05
b_1,2.0,1.91,2.27,2.16,7.09,4.79,8.44,10.04,8.53,9.3,6.57,10.48,16.83,8.56,9.75,15.11
a_1,2.34,1.94,2.49,2.24,2.34,10.12,9.81,11.22,10.41,9.67,11.51,12.84,18.23,6.62,13.5,20.16
h_1,3.35,2.27,2.85,2.59,2.0,2.1,18.66,10.1,11.15,11.81,11.35,11.3,12.05,10.95,12.24,23.86
d_0,2.48,2.32,1.71,4.71,2.64,2.0,8.99,17.24,6.3,8.57,10.81,10.82,17.23,11.26,11.59,15.28
c_0,2.7,2.57,2.8,1.57,2.07,2.56,9.87,11.19,18.66,9.98,23.33,11.19,19.62,15.62,14.75,20.58
g_1,2.04,2.11,4.32,2.55,2.21,2.08,8.63,9.66,10.97,23.85,11.41,18.98,19.59,12.07,14.17,14.06
b_0,3.0,2.67,2.99,2.52,1.38,1.86,8.98,10.23,10.97,10.34,22.88,12.72,19.27,28.06,15.63,18.84
f_0,2.0,1.99,3.1,2.62,2.61,2.54,9.88,10.9,12.17,9.92,13.55,24.16,20.42,13.16,28.56,18.59
h_0,3.23,2.33,2.91,2.45,2.37,2.3,7.04,10.66,12.0,11.07,12.13,12.06,10.62,11.77,11.22,23.51
a_0,2.56,2.33,3.22,2.68,2.27,1.2,8.72,11.36,12.81,10.5,14.67,14.77,19.62,29.0,13.54,22.1
e_0,2.61,1.52,2.8,2.67,2.92,2.59,9.27,9.95,13.06,10.01,14.07,13.76,23.82,12.72,30.93,18.41
g_0,2.03,2.0,4.06,2.49,2.37,2.31,9.6,11.27,11.01,8.12,11.83,21.88,17.49,14.73,13.59,13.43
