,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.25,1.48,1.3,1.5,3.02,20.92,27.54,31.75,37.4,55.23,50.22,81.11,81.71,102.89,137.03
c_1,0.8,1.0,0.87,1.65,1.58,2.57,17.34,18.41,21.89,29.14,30.45,42.26,68.55,75.13,97.7,109.98
e_1,0.67,1.16,1.0,1.17,1.0,2.42,22.35,33.07,26.16,27.31,43.1,54.42,67.61,83.81,87.17,114.2
b_1,0.78,0.61,0.85,1.0,1.1,3.21,18.68,18.33,25.88,27.68,36.2,42.34,59.76,63.12,94.22,86.4
d_1,0.67,0.63,1.0,0.91,1.0,2.07,15.16,20.73,29.32,17.63,37.65,46.8,72.96,69.37,82.13,67.79
a_1,0.33,0.39,0.41,0.31,0.48,1.0,8.3,8.99,9.57,11.25,18.77,18.57,30.68,27.72,41.96,41.68
h_1,0.05,0.06,0.04,0.05,0.06,0.12,1.0,1.2,1.33,1.85,2.19,2.32,3.57,4.49,4.69,5.67
d_0,0.04,0.05,0.03,0.05,0.05,0.11,0.83,1.0,0.92,1.13,1.32,1.93,2.85,3.0,4.89,4.36
c_0,0.03,0.05,0.04,0.04,0.03,0.1,0.78,1.1,1.0,1.02,2.08,1.84,3.48,3.14,3.98,3.94
g_1,0.03,0.03,0.04,0.04,0.06,0.09,0.55,0.82,1.0,1.0,1.47,2.14,2.79,2.39,3.61,3.74
b_0,0.02,0.03,0.02,0.03,0.03,0.05,0.44,0.74,0.49,0.64,1.0,1.05,2.58,1.86,2.35,2.64
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.45,0.52,0.51,0.43,0.93,1.0,1.56,1.65,2.77,1.69
a_0,0.01,0.02,0.01,0.02,0.01,0.04,0.29,0.35,0.29,0.39,0.38,0.63,1.0,1.15,1.35,1.25
h_0,0.01,0.01,0.01,0.02,0.01,0.04,0.22,0.32,0.31,0.41,0.55,0.59,0.92,1.0,1.41,1.41
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.22,0.21,0.25,0.27,0.39,0.36,0.73,0.75,1.0,0.98
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.23,0.25,0.27,0.36,0.58,0.76,0.7,1.05,1.0
