,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.46,0.98,1.1,1.38,1.13,0.85,2.12,4.34,2.39,2.51,2.36,2.79,3.12,3.95,1.85,2.94
d_1,1.04,2.5,1.14,0.98,1.08,1.09,2.15,1.68,3.95,2.0,2.9,2.69,3.21,2.58,3.38,2.81
f_1,1.66,1.05,2.5,1.23,0.86,1.27,1.86,2.07,2.18,2.0,2.17,1.18,3.06,2.97,2.21,2.58
c_1,1.01,1.05,1.12,2.52,2.05,0.93,2.41,1.87,1.32,2.05,1.95,2.65,2.84,2.75,2.51,2.26
b_1,1.13,1.2,1.36,0.8,2.72,2.1,1.99,2.29,2.21,2.24,1.46,2.23,3.07,2.86,1.95,1.96
a_1,1.35,1.18,1.17,1.23,0.68,3.28,2.5,2.62,2.53,2.53,2.95,2.87,2.89,3.07,2.25,1.77
h_1,1.26,1.27,1.52,1.25,1.21,1.06,4.0,2.62,2.47,2.78,2.55,2.61,2.58,3.7,2.82,3.12
d_0,0.97,0.76,1.47,2.2,1.29,1.17,2.52,3.92,2.0,2.34,2.88,2.41,3.37,3.09,2.56,3.22
c_0,1.31,1.25,1.34,1.14,1.21,1.26,2.35,3.03,3.92,2.19,4.67,3.17,3.32,3.45,3.23,3.2
g_1,0.94,1.83,1.1,1.34,1.16,0.94,2.31,2.57,2.74,4.49,2.93,4.09,2.5,2.8,3.02,2.67
b_0,1.18,1.3,1.42,1.41,0.98,0.9,2.95,2.51,2.29,2.3,4.29,3.0,3.69,3.71,2.55,5.07
f_0,1.21,1.44,0.86,1.27,1.43,1.14,2.73,2.96,2.84,2.03,3.01,4.29,3.57,3.8,4.26,2.87
h_0,1.33,1.33,1.56,1.28,1.11,1.16,1.81,2.77,2.66,3.27,2.64,2.72,2.53,4.18,2.29,2.48
g_0,0.96,1.9,1.08,1.42,1.16,1.26,2.55,2.58,2.63,2.11,2.37,3.72,3.09,2.41,2.49,2.68
e_0,0.82,1.23,1.36,1.42,1.35,1.45,2.68,2.62,2.97,2.34,3.38,2.91,4.55,4.21,5.17,2.82
a_0,1.1,1.3,1.18,1.48,1.43,1.06,2.61,2.89,2.75,2.68,2.53,3.06,4.0,3.64,3.04,5.0
