,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.55,0.8,0.91,0.84,0.87,0.5,0.49,0.39,0.44,0.35,0.44,0.33,0.36,0.35,0.51
f_1,0.8,0.4,0.69,0.78,0.89,0.81,0.35,0.37,0.36,0.43,0.37,0.46,0.24,0.4,0.38,0.35
d_1,0.87,0.88,0.4,0.91,0.73,0.74,0.39,0.5,0.39,0.31,0.38,0.35,0.3,0.37,0.2,0.32
c_1,0.67,0.86,0.82,0.39,0.95,0.73,0.45,0.24,0.43,0.44,0.34,0.35,0.32,0.34,0.31,0.36
b_1,0.83,0.84,0.98,0.5,0.37,0.98,0.46,0.35,0.43,0.51,0.5,0.34,0.34,0.4,0.31,0.38
a_1,0.86,0.94,0.84,0.83,0.47,0.31,0.49,0.4,0.38,0.53,0.54,0.34,0.35,0.57,0.39,0.35
h_1,0.73,0.8,0.7,0.8,0.7,0.58,0.25,0.35,0.32,0.42,0.31,0.29,0.33,0.29,0.32,0.26
d_0,0.45,0.72,1.12,0.84,0.75,0.69,0.39,0.26,0.31,0.41,0.34,0.34,0.3,0.29,0.32,0.33
c_0,0.74,0.73,0.5,0.99,0.73,0.72,0.39,0.44,0.25,0.4,0.37,0.37,0.26,0.38,0.28,0.32
g_1,0.72,0.67,0.9,0.77,0.77,0.65,0.29,0.3,0.31,0.23,0.3,0.38,0.22,0.28,0.34,0.3
b_0,0.73,0.7,0.62,1.01,0.89,0.59,0.41,0.34,0.2,0.38,0.23,0.3,0.32,0.41,0.26,0.34
f_0,0.7,0.97,0.7,0.71,0.8,0.66,0.46,0.32,0.29,0.25,0.32,0.21,0.27,0.32,0.2,0.36
h_0,0.67,0.77,0.76,0.7,0.76,0.58,0.55,0.33,0.35,0.46,0.27,0.3,0.32,0.28,0.31,0.28
a_0,0.84,0.7,0.7,0.86,0.81,0.69,0.38,0.39,0.27,0.41,0.2,0.3,0.28,0.2,0.3,0.27
g_0,0.71,0.73,0.77,0.72,0.71,0.67,0.3,0.34,0.32,0.45,0.35,0.35,0.22,0.28,0.33,0.28
e_0,0.95,0.9,0.72,0.62,0.7,0.69,0.41,0.29,0.31,0.34,0.33,0.19,0.34,0.33,0.31,0.2
