,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.9,0.77,1.1,1.06,0.8,0.71,0.74,0.87,0.62,0.61,0.76,0.64,0.67,0.61,0.6
d_1,1.08,1.0,1.04,0.87,0.88,0.83,0.67,0.58,0.63,0.78,0.67,0.61,0.58,0.54,0.58,0.47
f_1,1.31,0.94,1.0,1.01,0.85,0.71,0.63,0.71,0.69,0.6,0.61,0.58,0.46,0.47,0.55,0.57
c_1,0.91,1.15,0.99,1.0,1.33,0.89,0.68,0.73,0.51,0.59,0.53,0.61,0.63,0.56,0.51,0.51
b_1,0.95,1.12,1.21,0.79,1.0,1.39,0.77,0.74,0.64,0.81,0.71,0.67,0.68,0.64,0.49,0.63
a_1,1.2,1.2,1.4,1.1,0.74,1.0,0.88,0.83,0.77,0.8,0.93,0.68,0.71,0.65,0.74,0.69
h_1,1.44,1.46,1.62,1.45,1.27,1.15,1.0,1.06,0.92,0.86,0.89,0.93,0.87,0.86,0.81,0.9
g_1,1.36,1.7,1.42,1.38,1.32,1.23,0.99,1.0,0.9,0.94,0.93,1.06,0.78,0.87,0.79,0.8
d_0,1.19,1.68,1.39,1.91,1.51,1.37,1.15,1.12,1.0,0.87,0.81,0.93,0.91,0.9,0.81,0.91
c_0,1.62,1.24,1.68,1.66,1.25,1.22,1.17,1.05,1.17,1.0,1.28,1.0,1.01,0.93,1.08,0.87
b_0,1.58,1.42,1.61,1.83,1.42,1.1,1.16,1.08,1.19,0.82,1.0,1.03,0.96,0.89,1.15,0.94
f_0,1.32,1.68,1.7,1.6,1.44,1.43,1.12,0.97,1.09,0.98,1.04,1.0,1.02,1.3,0.84,0.8
h_0,1.6,1.73,2.05,1.64,1.54,1.38,1.16,1.31,1.07,0.99,1.09,0.99,1.0,0.97,0.87,0.94
e_0,1.52,1.83,2.14,1.76,1.62,1.48,1.2,1.16,1.11,1.08,1.15,0.82,1.04,1.0,0.98,0.88
a_0,1.64,1.71,1.75,2.07,1.93,1.33,1.31,1.27,1.26,0.91,0.87,1.11,1.07,1.0,1.0,1.05
g_0,1.69,2.13,1.81,1.92,1.58,1.47,1.15,1.27,1.12,1.13,1.09,1.26,1.04,1.14,0.89,1.01
