,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.09,1.77,1.59,1.42,1.15,0.55,0.55,0.61,0.41,0.45,0.53,0.33,0.38,0.42,0.33
f_1,1.71,1.04,1.6,1.49,1.45,1.21,0.45,0.47,0.56,0.4,0.45,0.46,0.28,0.33,0.32,0.35
c_1,1.29,1.49,1.04,1.9,1.77,1.3,0.62,0.33,0.57,0.51,0.37,0.44,0.37,0.37,0.36,0.35
d_1,1.72,1.85,1.52,1.04,1.51,1.33,0.55,0.65,0.46,0.5,0.46,0.43,0.35,0.38,0.39,0.24
b_1,1.87,2.03,1.21,1.82,1.05,1.97,0.73,0.51,0.66,0.65,0.69,0.48,0.43,0.49,0.46,0.36
a_1,2.67,2.64,2.47,2.31,1.35,1.06,0.99,0.75,0.84,0.7,0.84,0.63,0.61,0.69,0.51,0.53
h_1,4.75,5.4,4.81,4.42,4.29,4.09,1.24,1.36,1.75,1.29,1.25,1.18,1.17,1.07,1.03,1.08
d_0,3.76,4.64,5.76,5.75,5.29,4.86,2.06,1.36,1.92,1.35,1.31,1.42,1.28,1.18,1.44,1.24
g_1,4.97,5.59,5.34,5.08,4.89,3.84,1.5,1.73,1.25,1.36,1.53,1.51,1.03,1.32,1.37,1.14
c_0,6.77,6.59,6.73,3.92,5.25,4.69,2.11,2.3,1.89,1.37,1.93,1.7,1.46,1.4,1.63,1.14
b_0,5.67,5.96,7.87,5.2,6.26,3.89,2.18,1.88,2.06,1.15,1.36,1.57,1.48,1.57,1.49,1.14
f_0,5.59,7.35,6.19,5.84,6.12,5.55,2.41,2.02,1.6,1.8,1.82,1.38,1.46,1.37,1.71,1.0
h_0,7.44,7.69,6.99,7.04,6.38,5.09,2.83,2.18,2.52,1.87,2.01,1.86,1.83,1.56,1.6,1.49
a_0,8.04,8.68,9.27,7.8,8.66,6.54,2.94,2.33,2.99,2.12,1.61,2.31,1.96,1.53,2.0,1.53
e_0,9.65,10.78,8.68,8.08,7.57,7.26,3.42,2.37,2.51,2.24,2.03,1.5,2.07,1.97,1.5,1.47
g_0,9.23,9.5,8.86,9.34,9.12,7.15,2.74,2.77,3.22,2.59,2.6,2.56,1.73,2.08,2.13,2.08
