,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,0.92,0.96,0.94,0.73,0.59,0.63,0.59,0.67,0.57,0.59,0.53,0.6,0.55,0.44
e_1,0.81,1.0,0.95,1.18,0.97,0.89,0.76,0.68,0.64,0.87,0.68,0.73,0.6,0.61,0.62,0.66
d_1,1.09,1.03,1.0,0.83,0.92,0.88,0.65,0.6,0.85,0.66,0.69,0.62,0.6,0.53,0.5,0.54
c_1,1.04,0.85,1.15,1.0,1.25,0.83,0.73,0.67,0.63,0.48,0.53,0.62,0.59,0.51,0.59,0.57
b_1,1.08,1.03,1.1,0.81,1.0,1.2,0.85,0.75,0.77,0.67,0.64,0.64,0.68,0.55,0.6,0.6
a_1,1.38,1.15,1.14,1.17,0.83,1.0,0.88,0.84,0.69,0.79,0.85,0.68,0.69,0.7,0.65,0.71
h_1,1.63,1.31,1.53,1.38,1.17,1.09,1.0,1.1,0.89,0.87,0.95,0.85,0.83,0.83,0.89,0.8
g_1,1.56,1.45,1.69,1.43,1.36,1.19,0.88,1.0,0.99,0.8,0.93,1.04,0.75,0.79,0.8,0.77
c_0,1.67,1.51,1.23,1.66,1.37,1.39,1.1,1.0,1.0,1.14,1.27,0.98,0.97,0.99,0.94,0.86
d_0,1.5,1.19,1.53,2.05,1.56,1.25,1.08,1.19,0.8,1.0,1.01,0.91,0.91,0.86,0.93,0.98
b_0,1.75,1.48,1.42,1.78,1.59,1.16,1.11,1.07,0.82,0.99,1.0,1.01,0.98,1.26,0.91,0.94
f_0,1.77,1.44,1.63,1.58,1.5,1.36,1.23,0.96,1.04,1.04,0.97,1.0,0.93,0.93,0.8,1.17
h_0,1.91,1.74,1.65,1.63,1.44,1.41,1.21,1.29,1.01,1.11,1.01,1.06,1.0,0.98,1.09,0.81
a_0,1.78,1.57,1.87,1.88,1.75,1.39,1.25,1.28,1.05,1.15,0.87,1.04,1.0,1.0,1.03,0.95
g_0,1.82,1.63,2.07,1.66,1.62,1.5,1.15,1.26,1.1,1.06,1.11,1.26,0.9,1.01,1.0,1.11
e_0,2.17,1.62,1.8,1.74,1.62,1.37,1.23,1.24,1.17,0.95,1.11,0.87,1.24,1.07,0.92,1.0
