,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.29,1.93,1.9,2.01,1.61,0.61,0.61,0.66,0.55,0.57,0.72,0.36,0.55,0.51,0.48
e_1,1.37,1.06,1.99,2.41,2.17,1.72,0.96,0.72,0.88,0.63,0.57,0.64,0.48,0.54,0.52,0.85
d_1,2.36,2.54,1.05,1.96,2.0,1.76,0.83,1.05,0.53,0.71,0.59,0.57,0.48,0.54,0.35,0.54
c_1,2.41,1.7,3.04,1.06,2.32,1.93,0.8,0.42,0.85,0.8,0.62,0.61,0.54,0.62,0.43,0.59
b_1,2.71,2.56,2.64,1.64,1.06,2.74,1.06,0.84,1.04,1.06,1.19,0.66,0.53,0.62,0.59,0.7
a_1,4.1,3.83,3.05,3.26,1.92,1.07,1.52,1.2,1.28,1.11,1.3,1.0,0.91,1.29,0.67,0.87
h_1,6.19,4.78,5.21,5.16,4.95,3.4,1.29,1.42,2.08,1.43,1.24,1.2,1.51,1.2,1.28,1.0
d_0,6.48,4.12,9.4,8.83,6.19,5.12,2.75,1.5,3.16,1.79,1.73,1.89,1.73,1.45,1.7,1.91
g_1,7.84,6.24,7.51,6.1,5.9,5.18,2.08,2.15,1.34,2.08,1.82,1.91,1.11,1.55,1.72,1.58
c_0,8.41,6.48,4.25,10.96,5.75,5.39,2.58,2.51,2.36,1.46,2.19,1.67,1.7,1.93,1.68,1.76
b_0,8.26,7.31,6.5,9.39,9.53,4.66,3.25,2.68,2.53,1.37,1.53,2.03,1.73,2.29,1.63,1.62
f_0,11.11,7.38,7.2,7.57,8.19,6.51,3.61,2.35,2.1,2.29,2.29,1.56,1.94,2.01,1.25,2.55
h_0,10.59,9.6,8.61,8.01,8.75,7.15,4.22,2.71,3.62,2.54,2.67,2.36,2.39,2.14,2.09,2.05
a_0,9.36,9.83,9.87,10.01,10.86,9.15,4.31,3.22,3.64,2.34,1.62,2.53,2.33,1.6,2.02,2.86
g_0,10.41,10.35,10.57,11.48,9.55,8.32,3.11,2.7,4.46,2.58,2.66,3.16,2.0,2.62,2.79,2.75
e_0,11.3,13.37,9.87,10.06,9.21,9.1,4.49,3.06,3.92,2.83,2.62,1.68,2.88,2.99,2.15,1.55
