,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.51,0.76,0.59,0.55,0.63,0.64,0.72,0.65,0.6,1.31,0.9,0.82,0.93,0.76,0.75,0.71
f_1,0.65,1.52,1.08,0.68,0.56,0.43,0.72,0.74,0.78,0.74,0.68,0.43,0.75,0.63,0.89,0.4
e_1,0.7,0.63,1.52,0.73,0.68,0.56,0.85,0.66,1.28,0.87,0.86,0.77,0.82,0.7,0.74,0.41
c_1,0.75,0.66,0.64,1.59,1.02,0.5,0.87,0.78,0.72,0.37,0.6,0.86,0.93,0.63,0.7,0.68
b_1,0.78,0.74,0.71,0.61,1.61,0.94,0.72,0.72,0.79,0.74,0.54,0.88,0.84,0.74,0.9,0.71
a_1,0.79,0.81,0.72,0.76,0.56,1.76,0.98,1.0,0.9,0.88,1.02,0.86,0.92,0.57,0.98,0.82
h_1,0.97,1.2,0.78,0.9,0.77,0.61,1.72,1.33,1.05,0.94,0.96,0.88,0.92,0.98,1.23,0.89
g_1,1.34,0.89,0.89,0.95,0.83,0.59,0.92,1.79,0.97,1.08,1.02,1.26,1.07,0.81,0.53,0.93
d_0,0.72,0.96,0.82,1.52,0.86,0.7,1.14,1.02,1.59,0.93,1.18,0.88,1.25,0.79,1.03,1.14
c_0,0.89,1.14,0.86,0.76,0.83,0.79,1.32,1.0,1.25,1.55,1.82,1.06,1.31,1.12,1.01,1.13
b_0,1.04,1.17,0.93,1.05,0.57,0.67,1.19,1.05,1.03,0.95,1.64,0.89,1.33,1.48,1.23,0.81
f_0,1.08,0.88,0.91,0.85,0.86,0.8,1.14,0.98,1.23,1.23,1.23,1.67,1.27,1.19,1.09,2.0
h_0,1.06,1.48,1.07,0.85,0.83,0.63,0.82,1.27,1.04,1.16,1.17,0.98,0.92,0.98,1.43,0.77
a_0,0.98,1.21,1.08,1.06,0.84,0.43,1.2,1.08,1.41,1.29,1.12,1.01,1.4,1.72,1.19,0.96
g_0,1.49,0.87,1.03,1.13,0.86,0.69,0.96,0.98,1.02,1.29,1.2,1.58,1.22,1.07,1.0,1.05
e_0,1.22,1.34,0.74,0.92,0.96,0.77,1.14,1.15,1.01,1.08,1.42,0.85,1.58,1.0,1.06,1.77
