,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.26,1.22,1.32,1.33,1.03,0.43,0.46,0.41,0.64,0.41,0.52,0.28,0.39,0.39,0.36
e_1,0.91,0.66,1.19,1.44,1.25,1.21,0.76,0.65,0.47,0.59,0.58,0.67,0.44,0.46,0.68,0.51
d_1,1.44,1.6,0.64,1.25,1.54,1.0,0.56,0.73,0.6,0.39,0.42,0.44,0.39,0.49,0.4,0.26
c_1,1.35,1.26,1.56,0.64,1.48,1.21,0.57,0.32,0.53,0.54,0.4,0.44,0.41,0.44,0.44,0.41
b_1,1.44,1.42,1.32,0.87,0.63,1.87,0.76,0.55,0.67,0.69,0.97,0.52,0.46,0.46,0.48,0.5
a_1,2.17,1.58,1.9,1.56,0.89,0.57,0.77,0.61,0.62,0.96,0.67,0.61,0.43,0.91,0.54,0.4
h_1,2.37,1.77,2.08,2.07,1.7,1.66,0.57,0.67,0.73,0.99,0.72,0.62,0.85,0.62,0.61,0.62
d_0,2.27,1.28,2.59,2.84,2.22,2.05,1.07,0.62,0.95,1.0,0.67,0.92,0.7,0.74,0.83,0.78
c_0,2.38,2.46,1.27,3.8,2.09,2.04,1.0,0.96,0.6,1.1,0.96,0.66,0.76,0.8,0.72,0.62
g_1,2.17,2.29,2.41,2.57,2.28,1.55,0.74,0.8,0.8,0.54,0.88,0.89,0.53,0.69,0.7,0.77
b_0,2.54,1.95,2.16,2.92,2.7,2.26,0.99,0.9,0.54,0.91,0.58,0.77,0.66,0.92,0.64,0.51
f_0,3.94,2.08,2.12,2.64,2.15,2.07,1.21,0.91,0.99,0.71,1.05,0.56,0.77,0.86,1.12,0.54
h_0,2.76,2.3,2.37,2.68,2.42,2.52,1.51,0.87,0.88,1.13,0.9,0.88,0.95,0.79,0.81,0.78
a_0,3.11,2.61,2.17,2.58,3.7,2.88,1.14,0.97,0.81,1.38,0.59,0.87,1.04,0.56,0.77,0.81
e_0,3.66,2.99,2.67,2.68,3.03,2.29,1.25,0.98,0.99,1.12,1.07,0.51,0.89,0.98,0.56,0.74
g_0,3.22,2.66,2.79,2.63,2.36,2.74,1.05,1.09,0.99,1.45,1.18,0.95,0.67,1.01,0.83,0.93
