,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.74,0.88,1.05,0.73,0.74,0.65,0.97,1.55,0.94,0.79,1.03,1.0,0.94,1.05,0.74,0.99
f_1,1.32,1.82,0.83,0.72,0.7,0.69,0.91,1.03,0.86,0.87,0.96,0.69,0.92,0.86,0.74,0.87
c_1,0.73,0.77,1.83,0.84,1.38,0.72,0.87,0.92,0.84,0.65,0.69,1.0,0.98,0.85,0.94,0.95
d_1,0.74,0.85,0.65,2.02,0.79,0.8,1.12,0.68,1.09,1.69,1.11,1.07,1.06,1.03,1.04,1.08
b_1,0.74,0.81,0.78,0.81,2.09,1.53,0.87,0.84,0.9,0.87,0.71,0.89,0.96,0.82,1.04,0.88
a_1,0.82,0.85,0.84,0.89,0.73,2.76,0.89,0.82,1.06,1.02,1.18,1.02,1.14,0.94,1.06,1.04
h_1,0.86,1.12,0.82,0.99,0.71,0.67,1.95,0.88,1.36,1.09,1.0,1.04,0.86,1.14,0.93,1.3
d_0,0.8,0.91,1.41,0.61,0.92,0.81,1.12,1.36,0.84,0.71,1.01,0.95,0.98,1.12,1.05,1.0
g_1,0.74,0.83,0.8,1.24,0.8,0.79,1.08,0.85,2.13,1.17,1.08,1.6,1.09,0.91,1.29,0.97
c_0,0.9,1.0,0.79,0.97,0.66,0.78,1.14,1.05,1.18,1.57,1.88,1.1,1.18,1.36,1.29,1.08
b_0,0.87,0.91,1.04,0.99,0.58,0.61,1.11,1.15,0.98,1.12,1.7,1.06,1.09,2.13,1.27,1.16
f_0,0.67,0.8,0.93,0.96,0.91,0.96,1.2,1.06,1.1,1.03,1.26,1.73,1.18,1.01,2.3,1.26
h_0,0.94,1.15,0.84,1.03,0.79,0.75,0.86,0.87,1.29,0.95,0.97,1.04,0.81,0.99,1.02,1.28
a_0,0.85,0.98,0.96,0.92,0.76,0.74,1.12,1.09,0.86,1.2,1.11,1.09,1.14,1.89,1.1,1.09
e_0,0.71,0.98,0.93,0.96,0.82,1.03,1.1,0.8,0.99,0.97,0.98,1.08,1.11,1.06,2.1,1.3
g_0,0.76,0.76,0.79,1.4,0.86,0.73,0.96,0.8,0.93,1.08,1.13,1.49,1.07,1.16,1.36,0.85
