,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.05,1.59,1.34,1.72,2.44,20.16,28.0,33.04,33.09,46.77,,45.94,90.35,88.86,127.22
d_1,0.95,1.0,0.83,1.1,1.3,2.55,22.88,,22.83,43.94,31.21,39.14,67.91,83.18,92.59,87.86
e_1,0.63,1.2,1.0,1.0,1.53,3.05,14.11,36.76,26.43,27.91,34.5,41.55,69.63,70.82,,124.28
c_1,0.74,0.91,1.0,1.0,1.88,2.95,12.05,13.3,29.01,,25.92,42.08,57.48,69.24,68.68,86.49
b_1,0.58,0.77,0.65,0.53,1.0,2.36,15.21,16.75,14.06,19.84,,27.46,49.12,53.55,,71.0
a_1,0.41,0.39,0.33,0.34,0.42,1.0,6.78,9.89,9.91,10.78,13.18,14.56,23.69,,,29.6
h_1,0.05,0.04,0.07,0.08,0.07,0.15,1.0,1.42,1.66,1.93,1.95,2.7,,4.69,5.99,7.32
d_0,0.04,,0.03,0.08,0.06,0.1,0.7,1.0,0.82,1.04,1.37,1.49,2.43,3.54,3.62,4.93
g_1,0.03,0.04,0.04,0.03,0.07,0.1,0.6,1.21,1.0,1.07,1.43,1.94,1.9,3.42,4.31,
c_0,0.03,0.02,0.04,,0.05,0.09,0.52,0.96,0.94,1.0,1.91,1.66,2.48,2.47,2.69,3.44
b_0,0.02,0.03,0.03,0.04,,0.08,0.51,0.73,0.7,0.52,1.0,1.22,1.88,3.38,3.88,2.44
f_0,,0.03,0.02,0.02,0.04,0.07,0.37,0.67,0.52,0.6,0.82,1.0,1.33,2.12,2.29,1.62
h_0,0.02,0.01,0.01,0.02,0.02,0.04,,0.41,0.53,0.4,0.53,0.75,,0.86,1.45,2.0
a_0,0.01,0.01,0.01,0.01,0.02,,0.21,0.28,0.29,0.4,0.3,0.47,1.16,1.0,,1.25
e_0,0.01,0.01,,0.01,,,0.17,0.28,0.23,0.37,0.26,0.44,0.69,,1.0,1.05
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.2,,0.29,0.41,0.62,0.5,0.8,0.95,
