,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.03,0.76,0.67,0.92,0.75,0.67,1.0,0.9,0.91,1.57,1.05,1.09,0.99,0.9,0.69,0.97
f_1,1.3,2.07,0.73,0.75,0.55,0.64,0.88,0.88,0.89,0.91,0.98,0.64,0.89,0.92,0.62,0.88
d_1,0.72,0.86,2.19,0.58,0.61,0.67,1.06,1.08,1.67,0.64,1.21,1.07,1.02,1.06,1.15,1.06
c_1,0.71,0.76,0.63,2.33,1.46,0.62,0.78,0.82,0.51,0.96,0.71,0.89,0.92,0.96,0.87,0.82
b_1,0.69,0.74,0.78,0.73,2.63,1.62,0.96,0.9,0.89,0.76,0.56,0.81,0.96,0.73,0.93,0.95
a_1,0.69,0.8,0.92,0.87,0.63,3.9,0.94,0.83,0.86,1.04,0.99,0.91,1.2,0.59,1.05,1.03
h_1,0.77,1.08,0.92,0.82,0.86,0.66,2.01,1.36,0.96,0.87,1.01,0.95,0.74,1.19,1.12,1.46
g_1,0.64,0.7,1.42,0.67,0.75,0.75,1.09,2.48,1.08,0.74,0.92,1.73,1.17,1.07,1.2,0.83
c_0,0.85,0.93,0.98,0.66,0.6,0.74,1.08,1.13,1.6,0.96,1.87,1.1,1.19,1.31,1.24,1.25
d_0,0.72,0.77,0.54,1.56,0.91,0.67,0.96,1.04,0.79,1.65,0.94,1.17,0.99,1.15,1.14,1.04
b_0,0.89,0.92,0.85,0.87,0.56,0.59,1.16,1.01,0.98,1.13,1.83,1.26,1.23,2.11,1.32,1.2
f_0,0.59,0.72,0.95,0.98,0.84,0.75,1.11,1.16,1.08,1.13,1.2,2.0,1.29,1.22,2.64,1.06
h_0,0.84,1.21,0.93,0.7,0.74,0.69,0.73,1.19,1.07,0.97,0.93,1.14,0.83,1.17,1.26,1.49
a_0,0.84,0.86,1.08,0.81,0.83,0.58,1.05,1.04,1.09,0.92,1.03,1.02,1.2,2.06,1.05,1.19
e_0,0.51,0.89,0.91,1.13,0.88,0.71,1.08,0.95,0.94,1.08,1.23,1.21,1.13,1.27,2.53,1.18
g_0,0.72,0.83,1.29,0.75,0.74,0.69,1.1,0.88,1.11,0.84,1.09,1.6,0.98,1.14,1.26,0.96
