,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.04,0.87,1.29,0.77,0.7,0.69,0.47,0.48,0.65,0.49,0.62,0.59,0.52,0.54
f_1,1.02,1.0,0.97,1.28,0.9,0.71,0.62,0.7,0.68,0.61,0.55,0.59,0.48,0.41,0.55,0.57
d_1,0.96,1.04,1.0,1.02,0.95,0.86,0.72,0.55,0.66,0.84,0.59,0.72,0.58,0.59,0.53,0.47
e_1,1.16,0.78,0.97,1.0,1.02,0.88,0.73,0.77,0.92,0.64,0.72,0.62,0.62,0.68,0.6,0.67
b_1,0.78,1.13,1.06,0.97,1.0,1.35,0.82,0.7,0.67,0.74,0.63,0.66,0.65,0.56,0.56,0.59
a_1,1.3,1.39,1.13,1.12,0.75,1.0,0.81,0.96,0.81,0.83,0.74,0.87,0.72,0.81,0.77,0.74
h_1,1.41,1.61,1.39,1.42,1.25,1.2,1.0,1.01,0.9,0.86,0.86,0.86,0.78,0.7,0.74,0.93
g_1,1.44,1.43,1.78,1.27,1.42,1.08,0.97,1.0,0.94,0.89,1.19,0.88,0.71,0.89,0.79,0.89
d_0,2.06,1.48,1.56,1.08,1.58,1.24,1.1,1.02,1.0,0.74,1.06,0.84,0.85,0.89,0.93,0.91
c_0,2.17,1.64,1.2,1.52,1.29,1.2,1.16,1.11,1.28,1.0,0.99,1.38,0.98,1.0,1.03,0.9
f_0,1.63,1.82,1.67,1.41,1.56,1.29,1.2,0.87,1.0,1.04,1.0,1.12,0.94,1.32,1.07,0.77
b_0,2.03,1.75,1.39,1.56,1.47,1.15,1.17,1.1,1.13,0.74,0.88,1.0,1.01,1.0,1.32,0.89
h_0,1.65,2.05,1.68,1.61,1.54,1.33,1.27,1.43,1.16,1.05,1.09,0.99,1.0,0.93,1.06,1.08
e_0,1.74,2.48,1.68,1.61,1.69,1.36,1.32,1.07,1.1,0.97,0.81,0.98,1.13,1.0,1.04,0.93
a_0,1.81,1.75,1.88,1.65,1.78,1.35,1.26,1.28,1.09,0.96,0.9,0.79,0.95,0.94,1.0,0.99
g_0,1.85,1.71,2.07,1.49,1.69,1.34,1.08,1.11,1.11,1.15,1.31,1.1,0.92,1.06,1.04,1.0
