,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.22,0.85,0.95,0.73,0.73,0.4,0.36,0.42,0.42,0.35,0.31,0.29,0.3,0.34,0.25
e_1,0.83,1.0,0.93,1.2,0.88,0.7,0.55,0.45,0.48,0.6,0.39,0.5,0.36,0.35,0.33,0.32
d_1,1.16,1.06,1.0,0.86,0.9,0.6,0.49,0.57,0.36,0.4,0.42,0.37,0.36,0.31,0.27,0.33
c_1,1.07,0.84,1.16,1.0,1.25,0.71,0.55,0.41,0.41,0.32,0.35,0.38,0.35,0.3,0.33,0.3
b_1,1.35,1.12,1.09,0.83,1.0,1.15,0.62,0.57,0.48,0.47,0.51,0.46,0.43,0.34,0.37,0.33
a_1,1.38,1.42,1.66,1.41,0.88,1.0,0.72,0.63,0.73,0.61,0.63,0.57,0.57,0.61,0.54,0.48
h_1,2.44,1.84,2.07,1.83,1.58,1.34,1.0,0.79,0.98,0.85,0.82,0.66,0.69,0.61,0.78,0.66
c_0,2.69,2.27,1.75,2.43,1.67,1.59,1.26,1.0,1.07,1.24,1.31,0.94,0.87,0.93,0.74,0.73
g_1,2.31,2.12,2.74,2.58,1.94,1.39,1.02,0.92,1.0,0.88,0.87,1.01,0.61,0.82,0.65,0.75
d_0,2.35,1.65,2.49,3.1,2.22,1.53,1.21,0.79,1.15,1.0,0.92,0.94,0.84,0.83,0.81,0.76
b_0,2.71,2.52,2.43,2.89,2.09,1.54,1.26,0.77,1.12,1.05,1.0,0.99,0.9,1.31,0.84,0.76
f_0,3.17,2.14,2.73,2.57,2.14,1.66,1.54,1.05,0.96,1.02,0.97,1.0,0.84,0.96,0.64,1.21
h_0,3.4,2.87,2.86,2.8,2.25,1.8,1.49,1.13,1.66,1.19,1.08,1.12,0.99,0.96,1.05,0.77
a_0,3.28,2.91,3.07,3.43,2.76,1.75,1.81,1.13,1.15,1.23,0.81,1.09,1.05,1.0,0.9,1.04
g_0,2.97,2.93,3.71,3.03,2.62,1.79,1.29,1.36,1.56,1.24,1.19,1.61,0.95,1.06,1.0,1.08
e_0,3.99,3.34,3.08,3.42,3.06,2.02,1.59,1.36,1.2,1.22,1.21,0.83,1.25,1.1,0.92,1.0
