,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.46,0.68,0.8,0.72,0.63,0.37,0.38,0.4,0.31,0.32,0.39,0.26,0.3,0.28,0.44
f_1,0.73,0.4,0.61,0.71,0.67,0.57,0.29,0.3,0.38,0.27,0.31,0.32,0.21,0.27,0.3,0.27
d_1,0.68,0.7,0.39,0.73,0.66,0.69,0.35,0.43,0.28,0.34,0.3,0.31,0.24,0.3,0.19,0.28
c_1,0.58,0.67,0.8,0.38,0.77,0.63,0.4,0.19,0.36,0.35,0.29,0.3,0.25,0.29,0.25,0.25
b_1,0.71,0.74,0.77,0.42,0.36,0.79,0.4,0.29,0.38,0.43,0.44,0.3,0.27,0.3,0.27,0.32
a_1,0.68,0.85,0.75,0.63,0.41,0.31,0.36,0.36,0.43,0.32,0.35,0.33,0.32,0.48,0.27,0.27
h_1,0.62,0.71,0.61,0.59,0.55,0.6,0.23,0.3,0.39,0.25,0.28,0.28,0.31,0.27,0.28,0.3
d_0,0.43,0.62,0.86,0.72,0.68,0.58,0.35,0.24,0.36,0.28,0.27,0.28,0.25,0.3,0.27,0.31
g_1,0.67,0.66,0.61,0.68,0.67,0.55,0.28,0.32,0.21,0.28,0.3,0.3,0.2,0.28,0.28,0.27
c_0,0.64,0.69,0.4,0.91,0.59,0.72,0.37,0.42,0.31,0.23,0.36,0.32,0.27,0.29,0.28,0.33
b_0,0.6,0.61,0.58,0.76,0.78,0.67,0.33,0.3,0.33,0.19,0.22,0.27,0.24,0.3,0.25,0.27
f_0,0.59,0.87,0.64,0.64,0.6,0.58,0.33,0.3,0.25,0.27,0.29,0.21,0.22,0.26,0.18,0.33
h_0,0.62,0.67,0.61,0.66,0.62,0.54,0.39,0.28,0.36,0.26,0.27,0.28,0.28,0.23,0.25,0.26
a_0,0.67,0.68,0.56,0.63,0.76,0.68,0.35,0.26,0.34,0.25,0.19,0.29,0.27,0.19,0.25,0.29
g_0,0.58,0.68,0.66,0.64,0.73,0.59,0.25,0.29,0.39,0.25,0.26,0.29,0.21,0.28,0.24,0.34
e_0,0.72,0.78,0.64,0.66,0.55,0.59,0.32,0.27,0.3,0.25,0.25,0.17,0.24,0.27,0.18,0.18
