,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,0.56,0.61,0.65,0.64,0.7,0.15,0.27,0.11,0.12,0.13,0.21,0.14,0.07,0.11,0.1
e_1,0.37,0.17,0.71,0.83,0.69,0.76,0.19,0.2,0.14,0.15,0.15,0.16,0.13,0.1,0.34,0.12
d_1,0.79,0.72,0.16,0.73,0.6,0.53,0.18,0.12,0.13,0.27,0.13,0.12,0.12,0.08,0.12,0.06
c_1,0.69,0.56,0.68,0.15,0.7,0.56,0.18,0.19,0.31,0.08,0.13,0.13,0.12,0.1,0.12,0.1
b_1,0.71,0.76,0.75,0.33,0.13,0.6,0.23,0.22,0.18,0.16,0.27,0.13,0.15,0.1,0.13,0.09
a_1,0.77,0.77,0.63,0.71,0.35,0.09,0.19,0.18,0.13,0.15,0.23,0.15,0.44,0.12,0.18,0.1
h_1,0.55,0.51,0.52,0.5,0.47,0.51,0.06,0.16,0.11,0.12,0.11,0.11,0.11,0.13,0.09,0.08
g_1,0.56,0.49,0.54,0.51,0.54,0.56,0.11,0.05,0.13,0.11,0.12,0.11,0.09,0.06,0.11,0.14
c_0,0.54,0.53,0.29,0.97,0.55,0.51,0.2,0.13,0.06,0.16,0.12,0.11,0.1,0.08,0.11,0.08
d_0,0.49,0.28,0.96,0.59,0.6,0.59,0.15,0.16,0.11,0.06,0.1,0.12,0.11,0.08,0.12,0.08
b_0,0.48,0.49,0.42,0.64,0.9,0.76,0.13,0.15,0.06,0.12,0.05,0.11,0.1,0.09,0.12,0.07
f_0,0.9,0.54,0.51,0.47,0.46,0.52,0.15,0.09,0.1,0.1,0.11,0.05,0.1,0.07,0.1,0.04
a_0,0.51,0.5,0.48,0.54,0.65,0.76,0.14,0.13,0.09,0.12,0.06,0.11,0.04,0.08,0.11,0.06
h_0,0.52,0.52,0.5,0.53,0.56,0.48,0.19,0.13,0.11,0.1,0.09,0.1,0.08,0.13,0.08,0.08
e_0,0.71,0.91,0.47,0.53,0.52,0.43,0.15,0.11,0.1,0.11,0.09,0.06,0.1,0.07,0.04,0.07
g_0,0.61,0.57,0.5,0.49,0.59,0.39,0.11,0.24,0.1,0.13,0.1,0.1,0.09,0.06,0.12,0.1
