,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.43,1.67,2.19,1.45,1.79,1.36,0.51,0.55,0.19,0.56,0.37,0.35,0.27,0.34,0.31,0.24
f_1,1.74,0.43,1.55,1.69,1.67,1.53,0.35,0.58,0.38,0.33,0.66,0.3,0.19,0.3,0.31,0.3
d_1,2.11,1.52,0.42,2.12,1.9,1.97,0.47,0.3,0.77,0.3,0.28,0.32,0.24,0.34,0.27,0.15
e_1,1.82,1.03,2.15,0.41,1.8,2.09,0.57,0.58,0.37,0.4,0.44,0.36,0.29,1.15,0.4,0.3
b_1,0.96,2.32,1.99,1.75,0.4,2.03,0.68,0.62,0.45,0.54,0.38,0.89,0.29,0.35,0.46,0.28
a_1,3.04,3.24,2.52,2.44,1.05,0.32,0.58,0.85,0.54,0.54,0.43,0.67,0.35,0.57,0.95,0.42
h_1,2.79,2.62,2.43,3.29,2.75,2.72,0.33,0.74,0.72,0.54,0.56,0.54,0.59,0.44,0.49,0.47
g_1,3.18,3.29,2.84,3.13,3.64,2.75,0.62,0.3,0.69,0.56,0.72,0.61,0.31,0.59,0.6,0.64
d_0,3.37,3.23,5.8,1.63,3.48,2.8,1.04,0.91,0.38,0.64,0.91,0.61,0.44,0.86,0.78,0.52
c_0,7.61,3.3,1.61,3.54,3.58,3.18,0.94,0.95,1.04,0.36,0.68,0.68,0.5,0.89,0.76,0.43
f_0,3.3,7.01,3.26,3.25,3.51,2.98,1.05,0.61,0.77,0.7,0.34,0.81,0.54,0.87,0.89,0.35
b_0,5.15,3.51,2.5,3.64,6.49,3.85,0.97,0.96,0.77,0.38,0.65,0.35,0.5,0.71,0.79,0.48
h_0,3.68,4.39,3.99,3.76,3.83,3.84,1.73,1.21,0.94,0.86,0.94,0.71,0.91,0.81,0.76,0.53
e_0,3.94,7.77,3.47,7.67,4.52,3.06,1.18,0.83,0.88,0.73,0.42,0.72,0.61,0.3,0.76,0.54
a_0,4.74,3.94,3.91,4.54,4.74,6.71,1.07,1.3,0.88,0.77,0.77,0.43,0.56,0.81,0.32,0.62
g_0,4.6,5.08,4.06,3.93,4.38,4.05,0.99,1.67,0.93,0.81,0.9,0.79,0.45,0.84,0.85,0.85
