,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.04,1.08,1.35,1.65,1.4,1.23,0.54,0.55,0.52,0.4,0.38,0.45,0.33,0.43,0.35,0.33
f_1,1.7,1.04,1.4,1.46,1.44,1.13,0.43,0.49,0.56,0.42,0.41,0.39,0.26,0.3,0.33,0.33
d_1,1.79,1.87,1.04,1.54,1.54,1.21,0.57,0.6,0.4,0.52,0.46,0.42,0.35,0.43,0.37,0.24
c_1,1.4,1.73,1.92,1.05,1.79,1.37,0.63,0.34,0.64,0.57,0.46,0.5,0.38,0.41,0.39,0.34
b_1,1.94,1.81,1.96,1.16,1.05,1.83,0.66,0.54,0.67,0.64,0.76,0.53,0.45,0.48,0.49,0.36
a_1,2.58,2.82,3.02,2.35,1.47,1.06,1.06,0.75,0.88,0.87,0.86,0.73,0.61,0.72,1.1,0.58
h_1,4.55,5.14,4.33,4.5,4.26,3.35,1.26,1.47,1.81,1.23,1.26,1.08,1.12,1.02,1.01,0.93
d_0,3.8,5.11,5.81,6.66,4.97,4.46,1.95,1.34,1.85,1.43,1.43,1.38,1.12,1.26,1.11,1.26
g_1,5.19,5.79,5.48,5.28,4.71,4.27,1.5,1.65,1.27,1.55,1.5,1.54,1.03,1.35,1.16,1.17
c_0,6.35,6.09,3.81,6.71,4.91,3.82,2.08,2.18,1.71,1.35,1.72,1.53,1.18,1.49,1.38,1.01
b_0,6.36,5.93,5.13,7.74,6.33,4.22,2.32,1.99,2.09,1.19,1.35,1.65,1.37,1.52,1.65,1.28
f_0,5.99,8.3,5.98,6.74,5.76,4.97,2.55,1.81,1.65,1.85,1.81,1.39,1.39,1.78,1.42,0.99
h_0,7.33,8.04,7.08,7.29,6.14,5.81,3.01,2.32,2.49,2.2,2.11,2.06,1.85,1.92,1.73,1.72
e_0,9.12,11.18,6.89,9.98,8.45,5.89,3.06,2.46,2.54,2.42,2.15,1.51,1.87,1.41,1.97,1.61
a_0,9.48,8.6,7.38,9.78,9.67,7.6,3.68,2.81,2.83,2.05,1.5,2.92,1.72,2.28,1.46,1.72
g_0,9.3,9.56,9.82,9.84,8.8,6.52,3.09,2.72,3.21,2.99,2.87,2.67,1.7,2.32,2.16,2.09
