,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.89,0.91,1.18,0.98,0.63,0.8,0.52,0.53,0.65,0.72,0.63,0.7,,0.54
f_1,1.32,1.0,1.01,0.91,0.86,0.86,0.53,0.71,0.54,0.51,0.6,,0.5,0.66,0.47,0.63
c_1,1.13,0.99,1.0,1.66,1.31,0.89,0.78,0.44,,0.47,0.68,0.59,0.51,0.46,0.75,0.55
d_1,1.1,1.1,0.6,1.0,0.91,1.09,0.76,,0.73,0.77,0.52,0.71,0.6,0.52,0.64,0.52
b_1,0.85,1.16,0.77,1.09,1.0,1.45,0.87,0.89,0.64,,0.56,0.75,0.7,0.54,0.53,0.54
a_1,1.02,1.17,1.12,0.92,0.69,1.0,0.85,1.02,1.06,,0.69,0.7,0.73,,0.68,0.61
h_1,1.58,1.9,1.29,1.32,1.16,1.18,1.0,0.97,0.84,0.79,0.85,0.99,,0.81,0.8,0.88
d_0,1.25,1.4,2.28,,1.12,0.98,1.03,1.0,1.03,0.95,1.01,0.71,0.89,0.77,,0.95
c_0,1.93,1.85,,1.37,1.56,0.94,1.19,0.97,1.0,1.12,0.88,0.85,0.86,0.99,0.76,0.73
b_0,1.9,1.95,2.15,1.29,,,1.27,1.05,0.89,1.0,0.91,0.82,0.89,1.09,,1.05
g_1,1.54,1.67,1.48,1.93,1.79,1.45,1.18,0.99,1.14,1.09,1.0,1.0,0.79,,0.82,
f_0,1.38,,1.68,1.41,1.33,1.43,1.01,1.42,1.18,1.22,1.0,1.0,1.19,0.9,1.12,0.7
h_0,1.58,2.01,1.95,1.67,1.43,1.38,,1.12,1.16,1.13,1.26,0.84,,1.05,0.8,0.98
a_0,1.43,1.52,2.18,1.91,1.86,,1.24,1.3,1.01,0.92,,1.11,0.95,1.0,0.99,0.99
e_0,,2.11,1.34,1.55,1.9,1.46,1.25,,1.31,,1.22,0.89,1.25,1.01,1.0,0.93
g_0,1.87,1.6,1.83,1.91,1.86,1.63,1.13,1.05,1.37,0.95,,1.43,1.02,1.01,1.08,
