,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.4,0.65,0.42,0.66,0.59,0.53,0.35,0.33,0.28,0.4,0.31,0.33,0.22,0.25,0.4,0.29
d_1,0.64,0.39,0.67,0.6,0.56,0.54,0.3,0.37,0.29,0.23,0.29,0.23,0.22,0.16,0.26,0.25
f_1,0.65,0.57,0.39,0.6,0.55,0.54,0.26,0.27,0.26,0.34,0.25,0.3,0.19,0.25,0.24,0.26
c_1,0.5,0.7,0.56,0.39,0.67,0.58,0.32,0.18,0.3,0.31,0.24,0.27,0.22,0.22,0.26,0.22
b_1,0.58,0.67,0.65,0.39,0.36,0.77,0.34,0.26,0.32,0.31,0.31,0.27,0.25,0.24,0.26,0.26
a_1,0.66,0.64,0.65,0.61,0.37,0.3,0.33,0.3,0.26,0.33,0.34,0.28,0.25,0.24,0.27,0.28
h_1,0.54,0.6,0.66,0.55,0.52,0.47,0.23,0.25,0.25,0.32,0.25,0.23,0.23,0.22,0.24,0.24
d_0,0.39,0.63,0.55,0.76,0.6,0.5,0.34,0.23,0.25,0.35,0.27,0.26,0.22,0.22,0.28,0.25
c_0,0.62,0.42,0.65,0.71,0.6,0.54,0.32,0.37,0.22,0.28,0.29,0.26,0.23,0.2,0.25,0.26
g_1,0.49,0.63,0.6,0.56,0.57,0.51,0.25,0.27,0.26,0.21,0.29,0.26,0.18,0.22,0.25,0.24
b_0,0.55,0.49,0.67,0.71,0.65,0.47,0.31,0.26,0.18,0.27,0.21,0.23,0.21,0.22,0.22,0.25
f_0,0.51,0.56,0.7,0.61,0.57,0.47,0.32,0.28,0.25,0.23,0.28,0.2,0.21,0.17,0.26,0.24
h_0,0.58,0.54,0.59,0.6,0.53,0.5,0.35,0.28,0.24,0.33,0.25,0.25,0.24,0.23,0.21,0.22
g_0,0.52,0.63,0.58,0.61,0.54,0.5,0.26,0.29,0.25,0.31,0.24,0.26,0.18,0.25,0.25,0.23
e_0,0.66,0.49,0.71,0.59,0.55,0.47,0.32,0.29,0.25,0.25,0.28,0.18,0.23,0.2,0.17,0.23
a_0,0.56,0.49,0.62,0.65,0.6,0.67,0.33,0.26,0.22,0.31,0.18,0.24,0.23,0.23,0.23,0.18
