,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.87,0.07,0.16,0.09,0.1,0.05,0.28,0.15,0.34,0.32,0.4,,0.61,0.34,0.35,0.57
d_1,0.08,5.88,0.05,0.06,0.07,0.08,0.42,0.32,0.73,,0.44,0.41,0.58,0.36,0.42,0.37
e_1,0.08,0.04,6.22,0.08,0.07,,0.24,0.25,0.37,0.77,0.31,0.5,0.6,0.38,,0.56
c_1,0.1,0.08,0.06,6.51,0.15,0.05,0.32,0.29,,0.35,0.35,0.37,0.56,0.31,0.28,0.67
b_1,0.07,0.08,0.08,0.08,7.21,0.16,0.27,0.24,0.29,0.34,,0.28,0.56,0.4,0.41,0.75
a_1,0.05,0.08,,0.09,0.09,10.66,0.38,0.31,0.37,0.26,0.29,0.55,0.86,,0.39,
h_1,0.35,0.24,0.29,0.33,0.21,0.28,16.04,1.45,1.73,1.21,1.2,1.48,,1.4,1.18,3.25
g_1,0.17,0.49,0.24,0.33,0.28,0.32,0.75,17.54,1.26,1.7,1.32,2.0,2.06,1.21,1.29,
c_0,0.45,0.43,0.33,,0.27,0.24,1.54,1.58,12.23,1.96,2.64,2.56,3.18,1.74,1.59,3.02
d_0,0.36,,0.38,0.68,0.36,0.52,1.84,1.43,1.53,12.25,2.73,1.87,2.55,1.67,1.33,1.99
b_0,0.4,0.37,0.4,0.27,,0.36,1.97,1.44,1.91,1.67,13.91,1.31,3.8,3.48,1.51,2.37
f_0,,0.4,0.31,0.43,0.4,0.33,0.8,1.31,1.67,2.52,2.04,13.68,3.38,1.96,4.4,3.21
h_0,0.74,0.67,0.62,0.42,0.6,0.58,,2.94,2.53,3.2,2.5,2.8,,1.5,2.53,6.28
a_0,0.37,0.37,0.48,0.43,0.27,,1.33,1.45,2.07,1.25,1.13,1.57,2.62,20.55,,2.39
e_0,0.47,0.38,,0.29,0.29,0.45,1.73,1.72,2.21,2.67,2.01,1.15,2.66,,20.33,2.38
g_0,0.55,0.82,0.58,0.52,0.53,,1.58,,3.33,2.2,3.55,4.44,3.14,2.23,2.89,
