,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.45,1.44,1.65,1.27,1.4,1.39,2.95,2.58,4.74,2.59,4.01,3.29,3.91,3.69,3.44,3.84
e_1,1.3,2.47,1.31,1.82,1.61,1.55,2.86,2.87,3.1,4.93,3.08,4.0,4.33,3.65,2.8,4.09
f_1,1.3,2.29,2.49,1.53,1.38,1.22,2.21,2.86,2.98,3.22,3.21,2.29,3.7,3.16,2.42,3.04
c_1,1.55,1.28,1.36,2.69,2.37,1.6,2.82,2.59,2.17,2.57,2.51,3.42,3.67,2.83,2.72,4.05
b_1,1.64,1.26,1.61,1.27,2.84,2.53,3.24,2.8,3.0,2.87,2.59,3.07,3.62,2.38,3.85,4.36
a_1,1.62,1.48,1.75,1.49,1.11,3.31,3.18,3.04,3.07,3.79,3.24,3.25,5.13,2.74,3.92,4.4
h_1,1.52,1.43,1.96,1.65,1.52,1.47,4.14,3.51,3.24,3.32,3.35,2.97,3.71,2.95,3.56,5.08
g_1,2.16,1.28,1.2,1.62,1.58,1.5,2.77,4.57,3.3,2.75,3.27,4.39,3.85,3.78,4.28,3.49
c_0,1.52,1.63,1.59,1.39,1.41,1.53,2.95,3.23,4.26,3.89,5.25,3.52,4.61,4.34,3.51,4.15
d_0,1.32,1.38,1.62,2.6,1.61,1.32,2.9,3.2,2.44,4.29,2.76,3.5,4.31,3.33,3.67,4.41
b_0,1.66,1.57,1.56,1.66,1.16,1.31,3.18,3.31,3.07,3.46,4.51,3.13,4.81,6.48,3.44,4.51
f_0,1.6,1.16,1.58,1.57,1.58,1.91,3.48,3.07,3.47,3.25,3.58,4.64,5.02,3.66,6.72,4.05
h_0,1.7,1.47,1.99,1.68,1.6,1.2,2.39,3.57,3.41,3.0,2.9,2.94,3.67,3.82,2.8,4.91
a_0,1.69,1.61,1.57,1.79,1.45,1.35,3.43,3.22,3.38,3.49,3.0,3.55,4.29,5.01,3.18,4.12
e_0,1.69,1.36,1.75,1.75,1.54,1.45,3.22,2.93,3.43,3.12,3.45,2.84,5.19,3.86,5.14,4.43
g_0,2.08,1.38,1.64,1.51,1.44,1.48,2.83,3.11,3.58,3.01,3.14,4.59,3.73,3.99,3.45,4.02
