,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,33.81,0.11,0.06,0.08,0.07,0.05,0.26,0.44,0.31,0.34,0.42,,0.62,0.47,0.27,0.47
e_1,0.07,36.65,0.06,0.05,0.08,0.08,0.27,0.66,0.32,0.19,0.49,0.31,0.71,0.27,,0.57
d_1,0.07,0.08,43.14,0.05,0.08,0.05,0.23,,0.65,0.25,0.37,0.4,0.61,0.49,0.31,0.7
c_1,0.06,0.07,0.08,43.52,0.12,0.07,0.2,0.37,,0.34,0.37,0.42,0.53,0.49,0.45,0.59
b_1,0.06,0.08,0.05,0.08,46.29,0.12,0.37,0.47,0.34,0.21,,0.38,0.63,0.23,0.26,0.67
a_1,0.06,0.07,0.09,0.07,0.06,73.18,0.28,0.38,0.37,0.3,,0.47,0.62,,0.57,0.47
h_1,0.39,0.2,0.17,0.33,0.27,0.27,28.13,1.19,1.54,1.47,1.28,1.31,,1.58,1.38,3.67
d_0,0.38,0.29,,0.73,0.31,0.33,1.65,17.81,2.1,1.19,1.59,1.86,4.12,1.77,2.26,2.05
c_0,0.37,0.43,0.29,,0.3,0.41,1.31,1.45,19.0,1.39,3.84,2.72,2.89,2.11,1.3,2.68
g_1,0.18,0.28,0.54,0.29,0.25,0.2,1.05,1.13,1.33,36.5,1.52,2.27,1.75,1.15,1.22,
b_0,0.33,0.31,0.45,0.36,,0.35,1.83,2.41,2.33,1.12,19.96,1.64,2.69,3.45,2.26,2.53
f_0,,0.25,0.39,0.3,0.38,0.31,1.77,1.8,2.58,1.71,1.56,23.36,3.28,2.03,4.53,3.44
h_0,0.95,0.49,0.51,0.37,0.61,0.66,,3.26,2.56,2.91,2.61,3.18,,1.72,3.72,5.95
a_0,0.3,0.34,0.42,0.32,0.32,,2.25,1.99,2.34,1.66,1.74,,3.55,30.77,,
e_0,0.27,,0.31,0.29,0.4,0.41,2.43,2.42,1.88,1.92,2.56,1.6,2.68,,33.28,3.01
g_0,0.62,0.3,0.77,0.53,0.38,0.67,2.64,2.2,2.86,,3.69,5.35,4.71,,3.69,
