,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.43,0.66,0.63,0.57,0.57,0.33,0.36,0.33,0.28,0.27,0.36,0.28,0.23,0.29,0.23
f_1,0.63,0.39,0.6,0.62,0.57,0.53,0.24,0.32,0.27,0.27,0.27,0.29,0.24,0.18,0.22,0.26
c_1,0.5,0.59,0.38,0.63,0.7,0.59,0.34,0.31,0.19,0.25,0.28,0.28,0.27,0.22,0.25,0.22
d_1,0.65,0.59,0.59,0.38,0.61,0.54,0.31,0.24,0.36,0.28,0.29,0.26,0.26,0.21,0.25,0.17
b_1,0.62,0.65,0.43,0.61,0.36,0.7,0.33,0.34,0.24,0.33,0.32,0.24,0.23,0.24,0.28,0.24
a_1,0.59,0.65,0.57,0.61,0.38,0.32,0.4,0.37,0.29,0.36,0.28,0.3,0.35,0.25,0.36,0.24
h_1,0.56,0.74,0.53,0.53,0.54,0.44,0.23,0.31,0.26,0.26,0.26,0.24,0.26,0.25,0.26,0.25
g_1,0.59,0.58,0.56,0.59,0.57,0.46,0.27,0.21,0.25,0.26,0.26,0.28,0.27,0.17,0.26,0.25
d_0,0.42,0.54,0.68,0.62,0.65,0.56,0.34,0.37,0.23,0.29,0.24,0.28,0.26,0.24,0.28,0.22
b_0,0.57,0.58,0.7,0.47,0.64,0.52,0.31,0.29,0.27,0.21,0.18,0.27,0.3,0.21,0.24,0.2
c_0,0.64,0.6,0.75,0.39,0.56,0.61,0.32,0.29,0.38,0.28,0.21,0.25,0.27,0.23,0.27,0.22
f_0,0.54,0.73,0.53,0.54,0.63,0.54,0.32,0.23,0.25,0.25,0.25,0.2,0.27,0.23,0.28,0.16
a_0,0.55,0.62,0.59,0.51,0.71,0.55,0.29,0.31,0.27,0.16,0.2,0.24,0.19,0.23,0.21,0.21
h_0,0.57,0.6,0.6,0.56,0.53,0.48,0.32,0.33,0.25,0.24,0.23,0.25,0.22,0.25,0.21,0.23
e_0,0.66,0.79,0.53,0.5,0.6,0.48,0.28,0.24,0.25,0.27,0.24,0.16,0.29,0.24,0.18,0.2
g_0,0.55,0.57,0.56,0.62,0.55,0.55,0.25,0.35,0.28,0.25,0.25,0.28,0.23,0.18,0.25,0.23
