,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.7,1.35,1.14,1.32,1.13,0.37,0.28,0.25,0.37,0.26,0.31,0.2,0.24,0.39,0.22
f_1,1.22,0.42,1.22,1.23,1.08,1.06,0.26,0.26,0.21,0.42,0.26,0.36,0.12,0.23,0.2,0.19
c_1,0.94,1.38,0.41,1.45,1.29,1.13,0.33,0.15,0.33,0.31,0.24,0.22,0.16,0.23,0.24,0.17
d_1,1.47,1.12,1.32,0.41,1.19,1.06,0.33,0.42,0.23,0.2,0.25,0.24,0.16,0.23,0.23,0.12
b_1,1.41,1.61,0.75,1.16,0.38,1.77,0.42,0.3,0.47,0.45,0.46,0.26,0.21,0.26,0.27,0.18
a_1,1.46,1.71,1.61,1.54,0.78,0.34,0.55,0.35,0.31,0.45,0.41,0.34,0.26,0.47,0.32,0.25
h_1,2.0,2.3,2.33,2.03,1.85,1.74,0.3,0.5,0.44,0.67,0.46,0.4,0.4,0.43,0.36,0.3
d_0,1.33,2.62,2.5,3.61,2.65,2.16,0.75,0.33,0.52,0.79,0.51,0.48,0.41,0.43,0.53,0.43
c_0,2.3,2.47,3.95,1.44,2.36,2.58,0.71,0.72,0.33,0.67,0.49,0.53,0.43,0.54,0.46,0.34
g_1,2.24,2.41,2.75,2.31,2.46,2.15,0.51,0.58,0.53,0.28,0.51,0.47,0.3,0.4,0.42,0.4
b_0,2.36,2.66,4.09,1.99,3.6,2.33,0.73,0.59,0.28,0.72,0.29,0.51,0.37,0.53,0.45,0.38
f_0,2.35,4.71,2.56,2.39,2.61,2.27,0.82,0.55,0.64,0.45,0.58,0.3,0.46,0.53,0.5,0.26
h_0,3.16,3.03,3.01,2.92,2.86,2.77,1.0,0.62,0.56,0.91,0.57,0.59,0.53,0.45,0.52,0.45
a_0,2.81,2.91,2.97,3.94,4.47,4.91,0.9,0.7,0.56,0.99,0.35,0.65,0.41,0.3,0.61,0.36
e_0,3.39,4.59,3.34,3.12,3.41,2.47,0.75,0.69,0.61,0.82,0.7,0.34,0.45,0.63,0.29,0.38
g_0,3.14,3.45,2.97,3.38,3.23,3.42,0.68,0.69,0.61,1.13,0.63,0.66,0.35,0.58,0.6,0.53
