,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.35,0.22,0.3,0.22,0.27,0.26,0.59,0.7,0.79,0.87,0.58,0.51,0.45,0.81,,0.79
f_1,0.48,2.43,0.25,0.33,0.27,0.25,0.56,0.44,0.61,0.68,,0.54,0.58,0.59,0.42,0.79
d_1,0.25,0.27,2.45,0.24,0.3,0.37,0.62,0.57,0.9,,0.55,0.52,0.54,0.68,0.85,0.68
c_1,0.34,0.22,0.28,2.63,0.45,0.28,0.66,0.47,,0.48,0.64,0.6,0.63,0.76,0.61,0.68
b_1,0.28,0.32,0.27,0.21,2.75,0.38,0.64,0.46,0.62,0.62,0.75,,0.52,0.9,0.45,0.69
a_1,0.39,0.23,0.23,0.25,0.25,3.26,0.58,0.48,0.63,,0.57,0.48,,0.9,,0.65
h_1,0.48,0.6,0.41,0.49,0.45,0.55,3.72,1.29,1.12,1.35,1.14,1.36,1.37,,1.28,2.17
g_1,0.42,0.63,0.6,0.74,0.6,0.54,0.72,3.99,1.13,0.81,1.59,1.34,1.43,1.39,,
c_0,0.41,0.61,0.62,,0.52,0.63,1.26,1.33,3.46,1.44,1.32,2.48,1.45,1.58,1.48,1.96
d_0,0.54,0.66,,1.0,0.64,,1.17,1.27,1.48,3.59,1.1,1.31,1.42,2.21,1.24,1.63
f_0,0.58,,0.75,0.56,0.48,0.61,1.09,1.05,1.69,1.68,3.85,1.17,1.08,1.58,2.52,1.78
b_0,0.58,0.64,0.67,0.63,,0.65,1.28,1.2,1.03,1.56,1.84,3.81,2.16,1.45,1.05,1.74
a_0,0.64,0.66,0.68,0.63,0.52,,1.32,1.13,1.11,1.29,1.7,1.05,4.47,1.96,,1.39
h_0,0.66,1.14,0.83,0.73,0.77,0.76,,1.92,1.75,1.54,1.58,1.72,1.36,,1.28,2.02
e_0,,0.77,0.48,0.64,0.83,,1.34,,1.18,1.6,1.16,2.01,,2.28,4.64,1.79
g_0,0.74,0.61,1.14,0.81,0.65,0.8,1.0,,1.65,1.48,2.06,1.59,1.81,2.34,1.79,
