,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.1,1.85,3.34,3.15,3.01,2.75,0.88,0.96,0.6,0.6,0.65,0.79,0.61,0.46,0.8,0.58
f_1,2.84,1.1,2.79,2.98,2.84,2.84,0.64,1.13,0.68,0.69,0.66,0.91,0.54,0.31,0.56,0.42
d_1,3.59,3.47,1.1,3.45,3.13,3.19,0.84,0.57,1.0,0.65,0.73,0.64,0.64,0.43,0.61,0.27
c_1,2.69,3.59,4.35,1.11,3.59,3.4,0.96,0.92,0.44,0.94,0.69,0.69,0.68,0.46,0.63,0.49
b_1,3.99,4.46,4.02,2.19,1.12,3.98,1.25,1.18,0.84,1.06,1.41,1.0,0.72,0.63,0.8,0.68
a_1,5.99,6.63,6.01,6.08,3.0,1.13,2.24,1.96,1.36,1.38,1.56,1.0,1.79,0.93,1.23,0.96
h_1,11.84,12.4,11.15,10.73,11.0,9.65,1.63,3.36,2.47,2.42,2.57,2.5,2.06,2.31,1.99,1.75
g_1,13.82,16.42,12.41,13.03,12.7,11.26,2.78,1.62,2.93,2.97,2.99,2.58,2.74,1.8,2.38,2.07
d_0,8.35,15.24,19.65,15.6,16.64,15.5,4.18,4.35,2.05,3.05,3.1,2.76,2.83,2.16,3.11,2.6
c_0,16.51,15.63,8.07,28.78,19.55,14.22,4.38,4.46,4.44,1.94,3.16,2.67,3.0,2.27,2.89,1.7
b_0,15.17,15.3,11.87,20.97,25.18,14.22,4.89,4.4,3.73,1.75,1.88,3.04,2.92,2.35,3.14,2.32
f_0,20.96,30.74,17.28,20.17,17.8,18.72,5.44,3.7,4.69,3.84,3.81,2.0,3.39,3.3,3.4,1.76
a_0,18.11,24.46,20.01,21.83,27.95,24.88,5.4,5.89,4.47,3.43,2.53,3.43,2.33,3.3,4.27,3.35
h_0,21.08,24.3,20.76,23.63,19.82,18.01,9.04,5.48,4.47,4.11,4.62,3.86,3.92,4.28,3.95,3.18
e_0,39.27,34.58,22.3,26.38,25.18,21.74,6.76,6.59,5.87,4.89,5.21,2.36,4.1,2.96,2.35,3.09
g_0,36.22,33.92,25.99,36.39,27.95,24.56,6.26,10.72,7.18,5.77,6.85,5.08,4.86,3.25,5.24,4.85
