,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.42,0.34,0.47,0.33,0.22,0.36,0.3,0.61,0.32,0.31,0.25,0.29,0.38,0.17,0.24
f_1,0.66,0.92,0.36,0.38,0.3,0.2,0.34,0.26,0.38,0.32,0.34,0.17,0.25,0.33,0.17,0.24
d_1,0.4,0.44,0.92,0.3,0.33,0.23,0.38,0.34,0.28,0.61,0.42,0.29,0.28,0.39,0.23,0.32
c_1,0.4,0.41,0.36,0.92,0.56,0.23,0.37,0.3,0.34,0.2,0.23,0.26,0.26,0.33,0.22,0.24
b_1,0.41,0.42,0.41,0.36,0.91,0.42,0.36,0.3,0.34,0.28,0.21,0.29,0.2,0.37,0.23,0.29
a_1,0.46,0.44,0.41,0.36,0.31,0.88,0.39,0.34,0.34,0.37,0.32,0.28,0.25,0.39,0.27,0.29
h_1,0.44,0.56,0.48,0.42,0.34,0.2,0.65,0.41,0.34,0.35,0.33,0.3,0.28,0.29,0.25,0.37
g_1,0.4,0.37,0.6,0.42,0.34,0.22,0.38,0.65,0.4,0.38,0.34,0.43,0.29,0.42,0.27,0.22
d_0,0.45,0.42,0.34,0.67,0.41,0.24,0.38,0.32,0.54,0.27,0.3,0.3,0.28,0.4,0.25,0.29
c_0,0.47,0.47,0.44,0.36,0.33,0.22,0.39,0.34,0.42,0.57,0.65,0.35,0.41,0.45,0.25,0.34
b_0,0.47,0.49,0.42,0.46,0.28,0.2,0.39,0.33,0.41,0.36,0.57,0.32,0.58,0.45,0.26,0.3
f_0,0.39,0.39,0.48,0.43,0.35,0.28,0.37,0.36,0.45,0.43,0.36,0.55,0.37,0.46,0.52,0.35
a_0,0.53,0.52,0.44,0.4,0.34,0.2,0.4,0.34,0.36,0.38,0.4,0.31,0.48,0.44,0.29,0.29
h_0,0.45,0.59,0.44,0.41,0.34,0.23,0.29,0.33,0.36,0.36,0.37,0.26,0.25,0.31,0.29,0.33
e_0,0.4,0.5,0.44,0.41,0.4,0.26,0.42,0.36,0.36,0.35,0.35,0.3,0.3,0.41,0.46,0.33
g_0,0.39,0.44,0.62,0.38,0.33,0.21,0.38,0.29,0.31,0.42,0.33,0.44,0.29,0.39,0.3,0.26
