,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.02,1.19,1.0,1.01,1.11,1.05,1.34,1.03,1.0,1.09,1.14,1.12,0.89,1.07
f_1,1.3,1.0,0.95,1.01,0.86,0.91,0.8,1.03,0.97,0.96,0.97,0.91,0.88,0.77,0.82,0.95
d_1,0.97,1.06,1.0,0.88,0.97,0.99,1.04,0.83,1.07,1.34,1.13,1.02,1.01,0.97,1.06,0.85
c_1,0.84,0.99,1.14,1.0,1.44,0.94,1.04,0.94,0.7,0.8,0.82,0.91,0.98,0.91,0.93,0.95
b_1,1.01,1.16,1.02,0.7,1.0,1.35,1.03,1.12,0.96,0.91,0.97,1.17,0.77,1.16,1.03,1.16
a_1,0.98,1.12,1.01,1.06,0.73,1.0,1.17,1.26,0.95,1.06,1.17,0.88,1.44,1.15,1.12,1.24
h_1,0.92,1.19,0.97,0.99,0.96,0.84,1.0,1.18,0.89,0.93,0.96,1.04,0.91,1.0,0.91,1.23
g_1,0.97,0.99,1.16,1.08,0.93,0.81,0.85,1.0,1.07,0.95,0.96,1.23,1.04,1.06,0.98,0.89
d_0,0.74,0.97,0.99,1.48,1.06,1.04,1.07,0.99,1.0,0.84,0.96,0.91,0.98,1.02,1.12,1.04
c_0,1.04,0.99,0.72,1.27,1.09,0.94,1.08,1.08,1.26,1.0,1.4,1.1,1.15,1.2,1.08,1.0
b_0,0.96,1.01,0.87,1.23,1.04,0.8,1.01,1.02,1.05,0.69,1.0,1.02,1.44,1.12,1.04,1.03
f_0,0.92,1.07,0.95,1.06,0.87,1.17,0.98,0.8,1.17,0.98,0.9,1.0,1.0,1.2,1.47,0.83
a_0,0.93,1.12,1.03,0.98,1.31,0.83,1.06,0.9,0.97,0.86,0.74,0.98,1.0,1.1,1.2,1.15
h_0,0.89,1.28,1.02,1.07,0.89,0.87,1.04,0.97,0.92,0.84,0.93,0.86,0.85,1.0,1.06,1.17
e_0,1.11,1.26,0.95,1.02,0.98,0.91,1.12,0.98,0.93,0.88,1.0,0.67,0.86,0.9,1.0,0.99
g_0,0.93,1.03,1.19,1.06,0.86,0.82,0.81,1.16,0.9,0.96,0.96,1.19,0.82,0.83,0.97,1.0
