,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.65,0.69,1.06,0.91,1.0,0.84,0.44,0.43,0.45,0.34,0.39,0.34,0.3,0.34,0.29,0.39
f_1,1.08,0.64,1.0,0.83,0.88,0.93,0.36,0.39,0.42,0.33,0.36,0.31,0.22,0.29,0.28,0.27
c_1,0.82,1.01,0.63,1.21,1.12,0.88,0.46,0.25,0.4,0.39,0.32,0.33,0.32,0.32,0.33,0.3
d_1,1.12,1.14,0.93,0.63,0.92,0.77,0.41,0.44,0.32,0.4,0.35,0.41,0.27,0.35,0.23,0.29
b_1,1.04,1.12,0.69,1.15,0.62,1.1,0.49,0.39,0.48,0.47,0.38,0.48,0.31,0.38,0.28,0.35
a_1,1.23,1.29,1.13,1.27,0.72,0.57,0.58,0.5,0.56,0.5,0.54,0.62,0.38,0.44,0.37,0.52
h_1,1.52,1.68,1.56,1.5,1.42,1.32,0.53,0.57,0.68,0.52,0.51,0.52,0.5,0.46,0.42,0.45
d_0,1.17,1.54,2.06,1.98,1.81,1.51,0.85,0.56,0.75,0.53,0.58,0.53,0.58,0.54,0.48,0.56
g_1,1.65,1.79,1.8,1.82,1.57,1.31,0.63,0.71,0.52,0.65,0.6,0.61,0.42,0.5,0.53,0.51
c_0,1.9,1.82,2.43,1.26,1.64,1.49,0.84,0.95,0.73,0.54,0.61,0.7,0.5,0.65,0.44,0.6
f_0,1.73,2.21,1.9,1.8,1.71,1.38,0.85,0.7,0.59,0.64,0.53,0.68,0.57,0.57,0.39,0.76
b_0,1.86,1.94,2.46,1.57,1.96,1.63,0.92,0.79,0.82,0.47,0.6,0.51,0.52,0.7,0.46,0.62
h_0,1.97,2.29,1.85,2.0,1.91,1.67,1.01,0.77,0.96,0.76,0.65,0.75,0.66,0.69,0.6,0.64
a_0,2.03,2.15,2.16,2.01,2.05,2.42,1.07,0.8,1.0,0.66,0.69,0.49,0.6,0.52,0.57,0.61
g_0,2.07,2.2,2.04,2.09,2.26,1.87,0.92,0.83,0.99,0.81,0.77,0.8,0.52,0.74,0.65,0.65
e_0,2.33,2.45,2.54,2.22,2.04,1.73,1.02,0.84,0.95,0.86,0.5,0.78,0.64,0.67,0.55,0.52
