,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.07,0.95,0.81,0.77,0.76,0.47,0.34,0.49,0.39,0.42,0.38,0.37,0.34,0.29,0.27
f_1,0.93,1.0,1.23,0.86,0.85,0.63,0.41,0.45,0.42,0.42,0.39,0.39,0.36,0.28,0.27,0.32
e_1,1.05,0.82,1.0,1.23,0.94,0.78,0.53,0.49,0.43,0.62,0.48,0.43,0.39,0.38,0.35,0.35
c_1,1.24,1.16,0.82,1.0,1.22,0.77,0.56,0.52,0.37,0.3,0.3,0.4,0.3,0.35,0.33,0.32
b_1,1.3,1.18,1.06,0.83,1.0,1.1,0.63,0.58,0.58,0.49,0.43,0.42,0.36,0.41,0.33,0.38
a_1,1.33,1.56,1.29,1.29,0.9,1.0,0.88,0.64,0.59,0.58,0.66,0.55,0.39,0.52,0.53,0.53
h_1,2.12,2.43,1.86,1.76,1.65,1.16,1.0,1.02,0.86,0.83,0.88,0.71,0.7,0.76,0.68,0.72
g_1,2.92,2.2,2.08,1.93,1.75,1.51,0.97,1.0,0.86,0.84,1.02,1.01,0.79,0.69,0.85,0.7
c_0,1.87,2.42,2.39,2.9,1.8,1.63,1.14,1.15,1.0,1.24,1.29,0.82,0.89,0.77,0.77,0.76
d_0,2.61,2.32,1.7,3.22,2.05,1.65,1.17,1.14,0.81,1.0,0.94,0.9,0.92,0.88,0.7,0.7
b_0,2.25,2.79,2.15,3.39,2.29,1.52,1.11,0.98,0.75,1.09,1.0,0.88,1.14,0.86,0.74,0.77
f_0,2.74,2.48,2.32,2.59,2.45,1.78,1.38,0.97,1.21,1.11,1.06,1.0,0.89,0.91,1.31,0.73
a_0,2.71,2.76,2.74,3.45,2.64,2.37,1.45,1.23,1.11,1.18,0.9,1.07,1.0,1.01,0.93,0.93
h_0,2.92,3.54,2.82,2.83,2.37,1.96,1.32,1.46,1.25,1.16,1.14,1.09,1.0,1.0,0.76,0.97
e_0,3.26,3.71,2.99,3.25,2.97,1.93,1.51,1.11,1.3,1.35,1.32,0.77,1.05,1.33,1.0,0.82
g_0,3.83,3.12,2.83,2.86,2.59,1.98,1.35,1.43,1.39,1.35,1.27,1.3,1.1,1.06,1.23,1.0
